strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd,SciMatch,ComMatch,JointMatch
bGWGUx,Larus glaucescens,Glaucous-winged Gull,22694334,Larus glaucescens,Glaucous-winged Gull,LC,increasing,match,match,matchmatch
bGWWAx,Vermivora chrysoptera,Golden-winged Warbler,22721618,Vermivora chrysoptera,Golden-winged Warbler,NT,decreasing,match,match,matchmatch
bGYRFx,Falco rusticolus,Gyrfalcon,22696500,Falco rusticolus,Gyrfalcon,LC,stable,match,match,matchmatch
bHADUx,Histrionicus histrionicus,Harlequin Duck,22680423,Histrionicus histrionicus,Harlequin Duck,LC,increasing,match,match,matchmatch
bHAFLx,Empidonax hammondii,Hammond's Flycatcher,22699857,Empidonax hammondii,Hammond's Flycatcher,LC,increasing,match,match,matchmatch
bHASHx,Parabuteo unicinctus,Harris's Hawk,22695838,Parabuteo unicinctus,Harris's Hawk,LC,decreasing,match,match,matchmatch
bHASPx,Zonotrichia querula,Harris's Sparrow,22721082,Zonotrichia querula,Harris's Sparrow,NT,decreasing,match,match,matchmatch
bHBKIx,Chondrohierax uncinatus,Hook-billed Kite,22694971,Chondrohierax uncinatus,Hook-billed Kite,LC,decreasing,match,match,matchmatch
bHEEGx,Larus heermanni,Heermann's Gull,22694296,Larus heermanni,Heermann's Gull,NT,unknown,match,match,matchmatch
bHETHx,Catharus guttatus,Hermit Thrush,22708667,Catharus guttatus,Hermit Thrush,LC,increasing,match,match,matchmatch
bHOGRx,Podiceps auritus,Horned Grebe,22696606,Podiceps auritus,Horned Grebe,VU,decreasing,match,match,matchmatch
bHOLAx,Eremophila alpestris,Horned Lark,22717434,Eremophila alpestris,Horned Lark,LC,decreasing,match,match,matchmatch
bHOMEx,Lophodytes cucullatus,Hooded Merganser,22680472,Lophodytes cucullatus,Hooded Merganser,LC,increasing,match,match,matchmatch
bHOORx,Icterus cucullatus,Hooded Oriole,22724131,Icterus cucullatus,Hooded Oriole,LC,increasing,match,match,matchmatch
bHOSPx,Passer domesticus,House Sparrow,103818789,Passer domesticus,House Sparrow,LC,decreasing,match,match,matchmatch
bHOWRx,Troglodytes aedon,House Wren,103886826,Troglodytes aedon,House Wren,LC,increasing,match,match,matchmatch
bHUVIx,Vireo huttoni,Hutton's Vireo,22705182,Vireo huttoni,Hutton's Vireo,LC,stable,match,match,matchmatch
bICGUx,Larus glaucoides,Iceland Gull,22729877,Larus glaucoides,Iceland Gull,LC,stable,match,match,matchmatch
bINBUx,Passerina cyanea,Indigo Bunting,22723951,Passerina cyanea,Indigo Bunting,LC,decreasing,match,match,matchmatch
bINDOx,Columbina inca,Inca Dove,22690762,Columbina inca,Inca Dove,LC,increasing,match,match,matchmatch
bKIEIx,Somateria spectabilis,King Eider,22680409,Somateria spectabilis,King Eider,LC,decreasing,match,match,matchmatch
bKILLx,Charadrius vociferus,Killdeer,22693777,Charadrius vociferus,Killdeer,LC,decreasing,match,match,matchmatch
bKIRAx,Rallus elegans,King Rail,62155060,Rallus elegans,King Rail,NT,decreasing,match,match,matchmatch
bLALOx,Calcarius lapponicus,Lapland Longspur,22721033,Calcarius lapponicus,Lapland Longspur,LC,increasing,match,match,matchmatch
bLARBx,Calamospiza melanocorys,Lark Bunting,22721049,Calamospiza melanocorys,Lark Bunting,LC,decreasing,match,match,matchmatch
bLASPx,Chondestes grammacus,Lark Sparrow,22721191,Chondestes grammacus,Lark Sparrow,LC,decreasing,match,match,matchmatch
bLAZBx,Passerina amoena,Lazuli Bunting,22723948,Passerina amoena,Lazuli Bunting,LC,increasing,match,match,matchmatch
bLBBGx,Larus fuscus,Lesser Black-backed Gull,22694373,Larus fuscus,Lesser Black-backed Gull,LC,increasing,match,match,matchmatch
bLBCUx,Numenius americanus,Long-billed Curlew,22693195,Numenius americanus,Long-billed Curlew,LC,decreasing,match,match,matchmatch
bLBDOx,Limnodromus scolopaceus,Long-billed Dowitcher,22693348,Limnodromus scolopaceus,Long-billed Dowitcher,LC,unknown,match,match,matchmatch
bLBHEx,Egretta caerulea,Little Blue Heron,22696944,Egretta caerulea,Little Blue Heron,LC,decreasing,match,match,matchmatch
bLBTHx,Toxostoma longirostre,Long-billed Thrasher,22711102,Toxostoma longirostre,Long-billed Thrasher,LC,increasing,match,match,matchmatch
bLCTHx,Toxostoma lecontei,Le Conte's Thrasher,22711121,Toxostoma lecontei,Le Conte's Thrasher,LC,stable,match,match,matchmatch
bLEBIx,Ixobrychus exilis,Least Bittern,22697314,Ixobrychus exilis,Least Bittern,LC,stable,match,match,matchmatch
bLEFLx,Empidonax minimus,Least Flycatcher,22699854,Empidonax minimus,Least Flycatcher,LC,decreasing,match,match,matchmatch
bLEGRx,Tachybaptus dominicus,Least Grebe,22696571,Tachybaptus dominicus,Least Grebe,LC,stable,match,match,matchmatch
bLENIx,Chordeiles acutipennis,Lesser Nighthawk,22689711,Chordeiles acutipennis,Lesser Nighthawk,LC,increasing,match,match,matchmatch
bLEPCx,Tympanuchus pallidicinctus,Lesser Prairie-chicken,22679519,Tympanuchus pallidicinctus,Lesser Prairie-chicken,VU,decreasing,match,match,matchmatch
bLESAx,Calidris minutilla,Least Sandpiper,22693396,Calidris minutilla,Least Sandpiper,LC,decreasing,match,match,matchmatch
bLESCx,Aythya affinis,Lesser Scaup,22680402,Aythya affinis,Lesser Scaup,LC,decreasing,match,match,matchmatch
bLETEx,Sternula antillarum,Least Tern,22694673,Sternula antillarum,Least Tern,LC,decreasing,match,match,matchmatch
bLEWOx,Melanerpes lewis,Lewis's Woodpecker,22680801,Melanerpes lewis,Lewis's Woodpecker,LC,decreasing,match,match,matchmatch
bLEYEx,Tringa flavipes,Lesser Yellowlegs,22693235,Tringa flavipes,Lesser Yellowlegs,LC,decreasing,match,match,matchmatch
bLIGUx,Hydrocoloeus minutus,Little Gull,22694469,Hydrocoloeus minutus,Little Gull,LC,increasing,match,match,matchmatch
bLIMPx,Aramus guarauna,Limpkin,22692174,Aramus guarauna,Limpkin,LC,stable,match,match,matchmatch
bLISPx,Melospiza lincolnii,Lincoln's Sparrow,22721064,Melospiza lincolnii,Lincoln's Sparrow,LC,stable,match,match,matchmatch
bLOSHx,Lanius ludovicianus,Loggerhead Shrike,22705042,Lanius ludovicianus,Loggerhead Shrike,NT,decreasing,match,match,matchmatch
bLTDUx,Clangula hyemalis,Long-tailed Duck,22680427,Clangula hyemalis,Long-tailed Duck,VU,decreasing,match,match,matchmatch
bLUHUx,Calothorax lucifer,Lucifer Hummingbird,22688185,Calothorax lucifer,Lucifer Hummingbird,LC,stable,match,match,matchmatch
bMABOx,Sula dactylatra,Masked Booby,22736173,Sula dactylatra,Masked Booby,LC,decreasing,match,match,matchmatch
bMACUx,Coccyzus minor,Mangrove Cuckoo,22684337,Coccyzus minor,Mangrove Cuckoo,LC,stable,match,match,matchmatch
bMADUx,Nomonyx dominicus,Masked Duck,22679789,Nomonyx dominicus,Masked Duck,LC,decreasing,match,match,matchmatch
bMAFRx,Fregata magnificens,Magnificent Frigatebird,22697724,Fregata magnificens,Magnificent Frigatebird,LC,increasing,match,match,matchmatch
bMAGOx,Limosa fedoa,Marbled Godwit,22693162,Limosa fedoa,Marbled Godwit,LC,decreasing,match,match,matchmatch
bMAHUx,Eugenes fulgens,Magnificent Hummingbird,22687746,Eugenes fulgens,Magnificent Hummingbird,LC,increasing,match,match,matchmatch
bMALLx,Anas platyrhynchos,Mallard,22680186,Anas platyrhynchos,Mallard,LC,increasing,match,match,matchmatch
bMAMUx,Brachyramphus marmoratus,Marbled Murrelet,22694870,Brachyramphus marmoratus,Marbled Murrelet,EN,decreasing,match,match,matchmatch
bMASHx,Puffinus puffinus,Manx Shearwater,22698226,Puffinus puffinus,Manx Shearwater,LC,unknown,match,match,matchmatch
bMAWRx,Cistothorus palustris,Marsh Wren,22711374,Cistothorus palustris,Marsh Wren,LC,increasing,match,match,matchmatch
bMECHx,Poecile sclateri,Mexican Chickadee,22711732,Poecile sclateri,Mexican Chickadee,LC,decreasing,match,match,matchmatch
bMEGUx,Larus canus,Mew Gull,22694308,Larus canus,Mew Gull,LC,unknown,match,match,matchmatch
bMERLx,Falco columbarius,Merlin,22696453,Falco columbarius,Merlin,LC,stable,match,match,matchmatch
bMIKIx,Ictinia mississippiensis,Mississippi Kite,22695066,Ictinia mississippiensis,Mississippi Kite,LC,increasing,match,match,matchmatch
bMOBLx,Sialia currucoides,Mountain Bluebird,22708556,Sialia currucoides,Mountain Bluebird,LC,increasing,match,match,matchmatch
bMOCHx,Poecile gambeli,Mountain Chickadee,22711724,Poecile gambeli,Mountain Chickadee,LC,stable,match,match,matchmatch
bMODOx,Zenaida macroura,Mourning Dove,22690736,Zenaida macroura,Mourning Dove,LC,increasing,match,match,matchmatch
bMODUx,Anas fulvigula,Mottled Duck,22680178,Anas fulvigula,Mottled Duck,LC,decreasing,match,match,matchmatch
bMONQx,Cyrtonyx montezumae,Montezuma Quail,22728212,Cyrtonyx montezumae,Montezuma Quail,LC,stable,match,match,matchmatch
bMOPAx,Myiopsitta monachus,Monk Parakeet,45427277,Myiopsitta monachus,Monk Parakeet,LC,increasing,match,match,matchmatch
bMOPLx,Charadrius montanus,Mountain Plover,22693876,Charadrius montanus,Mountain Plover,NT,decreasing,match,match,matchmatch
bMOUQx,Oreortyx pictus,Mountain Quail,22679591,Oreortyx pictus,Mountain Quail,LC,stable,match,match,matchmatch
bMUDUx,Cairina moschata,Muscovy Duck,22680061,Cairina moschata,Muscovy Duck,LC,decreasing,match,match,matchmatch
bMUSWx,Cygnus olor,Mute Swan,22679839,Cygnus olor,Mute Swan,LC,increasing,match,match,matchmatch
bNOBOx,Colinus virginianus,Northern Bobwhite,22728956,Colinus virginianus,Northern Bobwhite,NT,decreasing,match,match,matchmatch
bNOCAx,Cardinalis cardinalis,Northern Cardinal,22723819,Cardinalis cardinalis,Northern Cardinal,LC,stable,match,match,matchmatch
bNOCRx,Corvus caurinus,Northwestern Crow,22705986,Corvus caurinus,Northwestern Crow,LC,increasing,match,match,matchmatch
bNOGOx,Accipiter gentilis,Northern Goshawk,22695683,Accipiter gentilis,Northern Goshawk,LC,unknown,match,match,matchmatch
bNOMOx,Mimus polyglottos,Northern Mockingbird,22711026,Mimus polyglottos,Northern Mockingbird,LC,stable,match,match,matchmatch
bNOPIx,Anas acuta,Northern Pintail,22680301,Anas acuta,Northern Pintail,LC,decreasing,match,match,matchmatch
bNRWSx,Stelgidopteryx serripennis,Northern Rough-winged Swallow,22712152,Stelgidopteryx serripennis,Northern Rough-winged Swallow,LC,decreasing,match,match,matchmatch
bNSWOx,Aegolius acadicus,Northern Saw-whet Owl,22689366,Aegolius acadicus,Northern Saw-whet Owl,LC,decreasing,match,match,matchmatch
bOATIx,Baeolophus inornatus,Oak Titmouse,22711978,Baeolophus inornatus,Oak Titmouse,LC,stable,match,match,matchmatch
bOLSPx,Arremonops rufivirgatus,Olive Sparrow,22721392,Arremonops rufivirgatus,Olive Sparrow,LC,increasing,match,match,matchmatch
bOLWAx,Peucedramus taeniatus,Olive Warbler,22720027,Peucedramus taeniatus,Olive Warbler,LC,decreasing,match,match,matchmatch
bORORx,Icterus spurius,Orchard Oriole,103793298,Icterus spurius,Orchard Oriole,LC,stable,match,match,matchmatch
bOSFLx,Contopus cooperi,Olive-sided Flycatcher,22699787,Contopus cooperi,Olive-sided Flycatcher,NT,decreasing,match,match,matchmatch
bOSPRx,Pandion haliaetus,Osprey,22694938,Pandion haliaetus,Osprey,LC,increasing,match,match,matchmatch
bOVENx,Seiurus aurocapilla,Ovenbird,22721779,Seiurus aurocapilla,Ovenbird,LC,stable,match,match,matchmatch
bPABUx,Passerina ciris,Painted Bunting,22723957,Passerina ciris,Painted Bunting,LC,stable,match,match,matchmatch
bPALOx,Gavia pacifica,Pacific Loon,22697839,Gavia pacifica,Pacific Loon,LC,increasing,match,match,matchmatch
bPBGRx,Podilymbus podiceps,Pied-billed Grebe,22696574,Podilymbus podiceps,Pied-billed Grebe,LC,stable,match,match,matchmatch
bPEFAx,Falco peregrinus,Peregrine Falcon,45354964,Falco peregrinus,Peregrine Falcon,LC,stable,match,match,matchmatch
bPHAIx,Phainopepla nitens,Phainopepla,22708139,Phainopepla nitens,Phainopepla,LC,stable,match,match,matchmatch
bPHVIx,Vireo philadelphicus,Philadelphia Vireo,22705240,Vireo philadelphicus,Philadelphia Vireo,LC,increasing,match,match,matchmatch
bPIGRx,Pinicola enucleator,Pine Grosbeak,22720625,Pinicola enucleator,Pine Grosbeak,LC,decreasing,match,match,matchmatch
bPIGUx,Cepphus columba,Pigeon Guillemot,22694864,Cepphus columba,Pigeon Guillemot,LC,stable,match,match,matchmatch
bPIJAx,Gymnorhinus cyanocephalus,Pinyon Jay,22705608,Gymnorhinus cyanocephalus,Pinyon Jay,VU,decreasing,match,match,matchmatch
bPIPLx,Charadrius melodus,Piping Plover,22693811,Charadrius melodus,Piping Plover,NT,increasing,match,match,matchmatch
bPLCHx,Ortalis vetula,Plain Chachalaca,22678305,Ortalis vetula,Plain Chachalaca,LC,stable,match,match,matchmatch
bPLVIx,Vireo plumbeus,Plumbeous Vireo,22705231,Vireo plumbeus,Plumbeous Vireo,LC,increasing,match,match,matchmatch
bPRFAx,Falco mexicanus,Prairie Falcon,22696504,Falco mexicanus,Prairie Falcon,LC,increasing,match,match,matchmatch
bPROWx,Protonotaria citrea,Prothonotary Warbler,22721765,Protonotaria citrea,Prothonotary Warbler,LC,decreasing,match,match,matchmatch
bPSFLx,Empidonax difficilis,Pacific-slope Flycatcher,22699871,Empidonax difficilis,Pacific-slope Flycatcher,LC,decreasing,match,match,matchmatch
bPUMAx,Progne subis,Purple Martin,22712098,Progne subis,Purple Martin,LC,stable,match,match,matchmatch
bPUSAx,Calidris maritima,Purple Sandpiper,22693420,Calidris maritima,Purple Sandpiper,LC,decreasing,match,match,matchmatch
bPYNUx,Sitta pygmaea,Pygmy Nuthatch,22711170,Sitta pygmaea,Pygmy Nuthatch,LC,increasing,match,match,matchmatch
bPYRRx,Cardinalis sinuatus,Pyrrhuloxia,22723825,Cardinalis sinuatus,Pyrrhuloxia,LC,decreasing,match,match,matchmatch
bRAZOx,Alca torda,Razorbill,22694852,Alca torda,Razorbill,NT,decreasing,match,match,matchmatch
bRBGRx,Pheucticus ludovicianus,Rose-breasted Grosbeak,22723813,Pheucticus ludovicianus,Rose-breasted Grosbeak,LC,decreasing,match,match,matchmatch
bRBGUx,Larus delawarensis,Ring-billed Gull,22694317,Larus delawarensis,Ring-billed Gull,LC,increasing,match,match,matchmatch
bRBMEx,Mergus serrator,Red-breasted Merganser,22680485,Mergus serrator,Red-breasted Merganser,LC,stable,match,match,matchmatch
bRBNUx,Sitta canadensis,Red-breasted Nuthatch,22711196,Sitta canadensis,Red-breasted Nuthatch,LC,increasing,match,match,matchmatch
bRBPIx,Patagioenas flavirostris,Red-billed Pigeon,22690296,Patagioenas flavirostris,Red-billed Pigeon,LC,decreasing,match,match,matchmatch
bRBSAx,Sphyrapicus ruber,Red-breasted Sapsucker,22680874,Sphyrapicus ruber,Red-breasted Sapsucker,LC,decreasing,match,match,matchmatch
bRBWOx,Melanerpes carolinus,Red-bellied Woodpecker,22680856,Melanerpes carolinus,Red-bellied Woodpecker,LC,increasing,match,match,matchmatch
bRCKIx,Regulus calendula,Ruby-crowned Kinglet,22712567,Regulus calendula,Ruby-crowned Kinglet,LC,increasing,match,match,matchmatch
bRCSPx,Aimophila ruficeps,Rufous-crowned Sparrow,22721288,Aimophila ruficeps,Rufous-crowned Sparrow,LC,decreasing,match,match,matchmatch
bRECRx,Loxia curvirostra,Red Crossbill,22720646,Loxia curvirostra,Red Crossbill,LC,stable,match,match,matchmatch
bREDHx,Aythya americana,Redhead,22680367,Aythya americana,Redhead,LC,increasing,match,match,matchmatch
bREEGx,Egretta rufescens,Reddish Egret,22696916,Egretta rufescens,Reddish Egret,NT,increasing,match,match,matchmatch
bREKNx,Calidris canutus,Red Knot,22693363,Calidris canutus,Red Knot,NT,decreasing,match,match,matchmatch
bREPHx,Phalaropus fulicarius,Red Phalarope,22693494,Phalaropus fulicarius,Red Phalarope,LC,unknown,match,match,matchmatch
bREVIx,Vireo olivaceus,Red-eyed Vireo,22705243,Vireo olivaceus,Red-eyed Vireo,LC,increasing,match,match,matchmatch
bRFWAx,Cardellina rubrifrons,Red-faced Warbler,22721885,Cardellina rubrifrons,Red-faced Warbler,LC,decreasing,match,match,matchmatch
bRHAUx,Cerorhinca monocerata,Rhinoceros Auklet,22694924,Cerorhinca monocerata,Rhinoceros Auklet,LC,decreasing,match,match,matchmatch
bRHWOx,Melanerpes erythrocephalus,Red-headed Woodpecker,22680810,Melanerpes erythrocephalus,Red-headed Woodpecker,LC,decreasing,match,match,matchmatch
bRNDUx,Aythya collaris,Ring-necked Duck,22680370,Aythya collaris,Ring-necked Duck,LC,increasing,match,match,matchmatch
bRNGRx,Podiceps grisegena,Red-necked Grebe,22696599,Podiceps grisegena,Red-necked Grebe,LC,decreasing,match,match,matchmatch
bRNSAx,Sphyrapicus nuchalis,Red-naped Sapsucker,22680871,Sphyrapicus nuchalis,Red-naped Sapsucker,LC,decreasing,match,match,matchmatch
bROSAx,Calidris ptilocnemis,Rock Sandpiper,22693424,Calidris ptilocnemis,Rock Sandpiper,LC,decreasing,match,match,matchmatch
bROSPx,Platalea ajaja,Roseate Spoonbill,22697574,Platalea ajaja,Roseate Spoonbill,LC,stable,match,match,matchmatch
bROSTx,Sterna dougallii,Roseate Tern,22694601,Sterna dougallii,Roseate Tern,LC,unknown,match,match,matchmatch
bROWRx,Salpinctes obsoletus,Rock Wren,22711332,Salpinctes obsoletus,Rock Wren,LC,decreasing,match,match,matchmatch
bROYTx,Thalasseus maximus,Royal Tern,22694542,Thalasseus maximus,Royal Tern,LC,stable,match,match,matchmatch
bRSHAx,Buteo lineatus,Red-shouldered Hawk,22695883,Buteo lineatus,Red-shouldered Hawk,LC,increasing,match,match,matchmatch
bRTBEx,Pachyramphus aglaiae,Rose-throated Becard,22700670,Pachyramphus aglaiae,Rose-throated Becard,LC,stable,match,match,matchmatch
bRTHAx,Buteo jamaicensis,Red-tailed Hawk,22695933,Buteo jamaicensis,Red-tailed Hawk,LC,increasing,match,match,matchmatch
bRTHUx,Archilochus colubris,Ruby-throated Hummingbird,22688193,Archilochus colubris,Ruby-throated Hummingbird,LC,increasing,match,match,matchmatch
bRTLOx,Gavia stellata,Red-throated Loon,22697829,Gavia stellata,Red-throated Loon,LC,decreasing,match,match,matchmatch
bRUBLx,Euphagus carolinus,Rusty Blackbird,22724329,Euphagus carolinus,Rusty Blackbird,VU,decreasing,match,match,matchmatch
bRUDUx,Oxyura jamaicensis,Ruddy Duck,22727750,Oxyura jamaicensis,Ruddy Duck,LC,decreasing,match,match,matchmatch
bRUGRx,Bonasa umbellus,Ruffed Grouse,22679500,Bonasa umbellus,Ruffed Grouse,LC,decreasing,match,match,matchmatch
bRUHUx,Selasphorus rufus,Rufous Hummingbird,22688296,Selasphorus rufus,Rufous Hummingbird,NT,decreasing,match,match,matchmatch
bRUTUx,Arenaria interpres,Ruddy Turnstone,22693336,Arenaria interpres,Ruddy Turnstone,LC,decreasing,match,match,matchmatch
bRWBLx,Agelaius phoeniceus,Red-winged Blackbird,22724191,Agelaius phoeniceus,Red-winged Blackbird,LC,decreasing,match,match,matchmatch
bSANDx,Calidris alba,Sanderling,22693369,Calidris alba,Sanderling,LC,unknown,match,match,matchmatch
bSAPHx,Sayornis saya,Say's Phoebe,22699889,Sayornis saya,Say's Phoebe,LC,increasing,match,match,matchmatch
bSATEx,Thalasseus sandvicensis,Sandwich Tern,22694591,Thalasseus sandvicensis,Sandwich Tern,LC,stable,match,match,matchmatch
bSATHx,Oreoscoptes montanus,Sage Thrasher,22711096,Oreoscoptes montanus,Sage Thrasher,LC,decreasing,match,match,matchmatch
bSAVSx,Passerculus sandwichensis,Savannah Sparrow,103780243,Passerculus sandwichensis,Savannah Sparrow,LC,stable,match,match,matchmatch
bSBAOx,Icterus pustulatus,Streak-backed Oriole,22724111,Icterus pustulatus,Streak-backed Oriole,LC,stable,match,match,matchmatch
bSBDOx,Limnodromus griseus,Short-billed Dowitcher,22693344,Limnodromus griseus,Short-billed Dowitcher,LC,decreasing,match,match,matchmatch
bSBFLx,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,22700580,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,LC,stable,match,match,matchmatch
bSBORx,Icterus pectoralis,Spot-breasted Oriole,22724105,Icterus pectoralis,Spot-breasted Oriole,LC,decreasing,match,match,matchmatch
bSCORx,Icterus parisorum,Scott's Oriole,22724160,Icterus parisorum,Scott's Oriole,LC,increasing,match,match,matchmatch
bSCQUx,Callipepla squamata,Scaled Quail,22679594,Callipepla squamata,Scaled Quail,LC,decreasing,match,match,matchmatch
bSCTAx,Piranga olivacea,Scarlet Tanager,22722466,Piranga olivacea,Scarlet Tanager,LC,stable,match,match,matchmatch
bSEOWx,Asio flammeus,Short-eared Owl,22689531,Asio flammeus,Short-eared Owl,LC,decreasing,match,match,matchmatch
bSEPLx,Charadrius semipalmatus,Semipalmated Plover,22693764,Charadrius semipalmatus,Semipalmated Plover,LC,stable,match,match,matchmatch
bSHCOx,Molothrus bonariensis,Shiny Cowbird,22724345,Molothrus bonariensis,Shiny Cowbird,LC,increasing,match,match,matchmatch
bSMLOx,Calcarius pictus,Smith's Longspur,22721037,Calcarius pictus,Smith's Longspur,LC,stable,match,match,matchmatch
bSNBUx,Plectrophenax nivalis,Snow Bunting,22721043,Plectrophenax nivalis,Snow Bunting,LC,decreasing,match,match,matchmatch
bSNEGx,Egretta thula,Snowy Egret,22696974,Egretta thula,Snowy Egret,LC,increasing,match,match,matchmatch
bSNKIx,Rostrhamus sociabilis,Snail Kite,22695048,Rostrhamus sociabilis,Snail Kite,LC,increasing,match,match,matchmatch
bSNOWx,Bubo scandiacus,Snowy Owl,22689055,Bubo scandiacus,Snowy Owl,VU,decreasing,match,match,matchmatch
bSNPLx,Charadrius nivosus,Snowy Plover,22725033,Charadrius nivosus,Snowy Plover,NT,decreasing,match,match,matchmatch
bSOGRx,Dendragapus fuliginosus,Sooty Grouse,22734695,Dendragapus fuliginosus,Sooty Grouse,LC,decreasing,match,match,matchmatch
bSORAx,Porzana carolina,Sora,22692684,Porzana carolina,Sora,LC,increasing,match,match,matchmatch
bSOSAx,Tringa solitaria,Solitary Sandpiper,22693239,Tringa solitaria,Solitary Sandpiper,LC,decreasing,match,match,matchmatch
bSOSPx,Melospiza melodia,Song Sparrow,22721058,Melospiza melodia,Song Sparrow,LC,stable,match,match,matchmatch
bSOTEx,Onychoprion fuscatus,Sooty Tern,22694740,Onychoprion fuscatus,Sooty Tern,LC,unknown,match,match,matchmatch
bSPGRx,Falcipennis canadensis,Spruce Grouse,61204079,Falcipennis canadensis,Spruce Grouse,LC,stable,match,match,matchmatch
bSPOWx,Strix occidentalis,Spotted Owl,22689089,Strix occidentalis,Spotted Owl,NT,decreasing,match,match,matchmatch
bSPPIx,Anthus spragueii,Sprague's Pipit,22718591,Anthus spragueii,Sprague's Pipit,VU,decreasing,match,match,matchmatch
bSPSAx,Actitis macularius,Spotted Sandpiper,22693277,Actitis macularius,Spotted Sandpiper,LC,decreasing,match,match,matchmatch
bSPTOx,Pipilo maculatus,Spotted Towhee,103772680,Pipilo maculatus,Spotted Towhee,LC,stable,match,match,matchmatch
bSSHAx,Accipiter striatus,Sharp-shinned Hawk,22734130,Accipiter striatus,Sharp-shinned Hawk,LC,increasing,match,match,matchmatch
bSTFLx,Tyrannus forficatus,Scissor-tailed Flycatcher,22700500,Tyrannus forficatus,Scissor-tailed Flycatcher,LC,decreasing,match,match,matchmatch
bSTGRx,Tympanuchus phasianellus,Sharp-tailed Grouse,22679511,Tympanuchus phasianellus,Sharp-tailed Grouse,LC,decreasing,match,match,matchmatch
bSTHAx,Buteo brachyurus,Short-tailed Hawk,22695897,Buteo brachyurus,Short-tailed Hawk,LC,increasing,match,match,matchmatch
bSTJAx,Cyanocitta stelleri,Steller's Jay,22705614,Cyanocitta stelleri,Steller's Jay,LC,increasing,match,match,matchmatch
bSTKIx,Elanoides forficatus,Swallow-tailed Kite,22695017,Elanoides forficatus,Swallow-tailed Kite,LC,increasing,match,match,matchmatch
bSTSAx,Calidris himantopus,Stilt Sandpiper,22693437,Calidris himantopus,Stilt Sandpiper,LC,increasing,match,match,matchmatch
bSUSCx,Melanitta perspicillata,Surf Scoter,22680441,Melanitta perspicillata,Surf Scoter,LC,decreasing,match,match,matchmatch
bSUTAx,Piranga rubra,Summer Tanager,22722456,Piranga rubra,Summer Tanager,LC,stable,match,match,matchmatch
bSWHAx,Buteo swainsoni,Swainson's Hawk,22695903,Buteo swainsoni,Swainson's Hawk,LC,stable,match,match,matchmatch
bSWSPx,Melospiza georgiana,Swamp Sparrow,22721070,Melospiza georgiana,Swamp Sparrow,LC,increasing,match,match,matchmatch
bSWWAx,Limnothlypis swainsonii,Swainson's Warbler,22721776,Limnothlypis swainsonii,Swainson's Warbler,LC,increasing,match,match,matchmatch
bTACRx,Corvus imparatus,Tamaulipas Crow,22705996,Corvus imparatus,Tamaulipas Crow,LC,stable,match,match,matchmatch
bTBKIx,Tyrannus crassirostris,Thick-billed Kingbird,22700494,Tyrannus crassirostris,Thick-billed Kingbird,LC,increasing,match,match,matchmatch
bTBMUx,Uria lomvia,Thick-billed Murre,22694847,Uria lomvia,Thick-billed Murre,LC,increasing,match,match,matchmatch
bTOSOx,Myadestes townsendi,Townsend's Solitaire,22708587,Myadestes townsendi,Townsend's Solitaire,LC,increasing,match,match,matchmatch
bTRBLx,Agelaius tricolor,Tricolored Blackbird,22724196,Agelaius tricolor,Tricolored Blackbird,EN,decreasing,match,match,matchmatch
bTRESx,Tachycineta bicolor,Tree Swallow,22712057,Tachycineta bicolor,Tree Swallow,LC,stable,match,match,matchmatch
bTRHEx,Egretta tricolor,Tricolored Heron,22696931,Egretta tricolor,Tricolored Heron,LC,stable,match,match,matchmatch
bTRKIx,Tyrannus melancholicus,Tropical Kingbird,22700485,Tyrannus melancholicus,Tropical Kingbird,LC,increasing,match,match,matchmatch
bTRUSx,Cygnus buccinator,Trumpeter Swan,22679859,Cygnus buccinator,Trumpeter Swan,LC,increasing,match,match,matchmatch
bTUPUx,Fratercula cirrhata,Tufted Puffin,22694934,Fratercula cirrhata,Tufted Puffin,LC,decreasing,match,match,matchmatch
bTUTIx,Baeolophus bicolor,Tufted Titmouse,22711983,Baeolophus bicolor,Tufted Titmouse,LC,increasing,match,match,matchmatch
bTUVUx,Cathartes aura,Turkey Vulture,22697627,Cathartes aura,Turkey Vulture,LC,stable,match,match,matchmatch
bUPSAx,Bartramia longicauda,Upland Sandpiper,22693203,Bartramia longicauda,Upland Sandpiper,LC,increasing,match,match,matchmatch
bVABUx,Passerina versicolor,Varied Bunting,22723954,Passerina versicolor,Varied Bunting,LC,stable,match,match,matchmatch
bVASWx,Chaetura vauxi,Vaux's Swift,22733935,Chaetura vauxi,Vaux's Swift,LC,increasing,match,match,matchmatch
bVATHx,Ixoreus naevius,Varied Thrush,22708385,Ixoreus naevius,Varied Thrush,LC,decreasing,match,match,matchmatch
bVCHUx,Amazilia violiceps,Violet-crowned Hummingbird,22687624,Amazilia violiceps,Violet-crowned Hummingbird,LC,unknown,match,match,matchmatch
bVEERx,Catharus fuscescens,Veery,22708655,Catharus fuscescens,Veery,LC,decreasing,match,match,matchmatch
bVERDx,Auriparus flaviceps,Verdin,22711568,Auriparus flaviceps,Verdin,LC,stable,match,match,matchmatch
