strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd
aDNSAx,Plethodon elongatus,Del Norte Salamander,59339,Plethodon elongatus,Del Norte Salamander,NT,decreasing
aDUSAx,Plethodon dunni,Dunn's Salamander,59337,Plethodon dunni,Dunn's Salamander,LC,stable
aDWSAx,Eurycea quadridigitata,Dwarf Salamander,59274,Eurycea quadridigitata,Dwarf Salamander,LC,stable
aDWWAx,Necturus punctatus,Dwarf Waterdog,59434,Necturus punctatus,Dwarf Waterdog,LC,unknown
aEANEx,Notophthalmus viridescens,Eastern Newt,59453,Notophthalmus viridescens,Eastern Newt,LC,stable
aEASPx,Scaphiopus holbrookii,Eastern Spadefoot,59042,Scaphiopus holbrookii,Eastern Spadefoot,LC,stable
aENMTx,Gastrophryne carolinensis,Eastern Narrow-mouthed Toad,57813,Gastrophryne carolinensis,Eastern Narrowmouth Toad,LC,stable
aENSAx,Ensatina eschscholtzii,Ensatina,59260,Ensatina eschscholtzii,Ensatina,LC,stable
aERBSx,Plethodon cinereus,Eastern Red-backed Salamander,59334,Plethodon cinereus,Eastern Red-backed Salamander,LC,stable
aETSAx,Ambystoma tigrinum,Eastern Tiger Salamander,83293207,Ambystoma tigrinum,Tiger Salamander,LC,stable
aFBFRx,Lithobates okaloosae,Florida Bog Frog,58684,Lithobates okaloosae,Florida Bog Frog,VU,unknown
aFBSAx,Eurycea pterophila,Fern Bank Salamander,59273,Eurycea pterophila,Blanco River Springs Salamander,DD,unknown
aFFSAx,Ambystoma cingulatum,Frosted Flatwoods Salamander,1099,Ambystoma cingulatum,Frosted Flatwoods Salamander,VU,decreasing
aFMSAx,Plethodon fourchensis,Fourch Mountain Salamander,17631,Plethodon fourchensis,Fourche Mountain Salamander,VU,unknown
aFOTOx,Anaxyrus fowleri,Fowler's Toad,54640,Anaxyrus fowleri,Fowler's Toad,LC,stable
aFTSAx,Hemidactylium scutatum,Four-toed Salamander,59285,Hemidactylium scutatum,Four-toed Salamander,LC,stable
aFYLFx,Rana boylii,Foothill Yellow-legged Frog,19175,Rana boylii,Yellow-legged Frog,NT,decreasing
aGBSAx,Haideotriton wallacei,Georgia Blind Salamander,59284,Eurycea wallacei,Georgia Blind Salamander,VU,unknown
aGBSPx,Spea intermontana,Great Basin Spadefoot,59046,Spea intermontana,Great Basin Spadefoot,LC,stable
aGESAx,Eurycea naufragia,Georgetown Salamander,59271,Eurycea naufragia,San Gabriel Springs Salamander,EN,decreasing
aGGSAx,Batrachoseps gregarius,Gregarious Salamander,59124,Batrachoseps gregarius,Gregarious Slender Salamander,LC,stable
aGHFRx,Eleutherodactylus planirostris,Greenhouse Frog,56864,Eleutherodactylus planirostris,Greenhouse Frog,LC,stable
aGMSSx,Batrachoseps gavilanensis,Gabilan Mountains Slender Salamander,59123,Batrachoseps gavilanensis,Gabilan Mountains Slender Salamander,LC,stable
aGOFRx,Lithobates capito,Gopher Frog,58564,Lithobates capito,Gopher Frog,NT,decreasing
aGPTOx,Anaxyrus cognatus,Great Plains Toad,54612,Anaxyrus cognatus,Great Plains Toad,LC,unknown
aGRFRx,Lithobates clamitans,Green Frog,58578,Lithobates clamitans,Green Frog,LC,stable
aGRSAx,Aneides aeneus,Green Salamander,1282,Aneides aeneus,Green Salamander,NT,decreasing
aGRSIx,Siren lacertina,Greater Siren,59492,Siren lacertina,Greater Siren,LC,unknown
aGRTOx,Anaxyrus debilis,Green Toad,54626,Anaxyrus debilis,Sapo Verde,LC,stable
aGRTRx,Hyla cinerea,Green Treefrog,55449,Dryophytes cinereus,American Green Treefrog,LC,stable
aGSALx,Eurycea spelaea,Grotto Salamander,22707,Eurycea spelaea,Grotto Salamander,LC,unknown
aGSSAx,Batrachoseps major,Garden Slender Salamander,59128,Batrachoseps major,Garden Slender Salamander,LC,stable
aGUWAx,Necturus beyeri,Gulf Coast Waterdog,59431,Necturus beyeri,Gulf Coast Waterdog,LC,unknown
aGYTRx,Hyla versicolor,Gray Treefrog,55687,Dryophytes versicolor,Gray Treefrog,LC,stable
aHELLx,Cryptobranchus alleganiensis,Hellbender,59077,Cryptobranchus alleganiensis,Hellbender,NT,decreasing
aHHSSx,Batrachoseps diabolicus,Hell Hollow Slender Salamander,59121,Batrachoseps diabolicus,Hell Hollow Slender Salamander,DD,unknown
aHOTOx,Anaxyrus houstonensis,Houston Toad,3170,Anaxyrus houstonensis,Houston Toad,EN,decreasing
aHUSPx,Scaphiopus hurterii,Hurter's Spadefoot,59043,Scaphiopus hurterii,Hurter's Spadefoot,LC,stable
aIGSAx,Dicamptodon aterrimus,Idaho Giant Salamander,59078,Dicamptodon aterrimus,Idaho Giant Salamander,LC,stable
aIMSAx,Desmognathus imitator,Imitator Salamander,59250,Desmognathus imitator,Imitator Salamander,LC,stable
aINSAx,Batrachoseps campi,Inyo Mountains Salamander,2649,Batrachoseps campi,Inyo Mountains Salamander,EN,decreasing
aJESAx,Ambystoma jeffersonianum,Jefferson Salamander,59059,Ambystoma jeffersonianum,Jefferson Salamander,LC,stable
aJMSAx,Plethodon neomexicanus,Jemez Mountains Salamander,17626,Plethodon neomexicanus,Jemez Mountains Salamander,NT,stable
aJPSAx,Eurycea tonkawae,Jollyville Plateau Salamander,59275,Eurycea tonkawae,Jollyville Plateau Salamander,EN,decreasing
aJUSAx,Eurycea junaluska,Junaluska Salamander,59266,Eurycea junaluska,Junaluska Salamander,VU,stable
aKCSSx,Batrachoseps simatus,Kern Canyon Slender Salamander,2647,Batrachoseps simatus,Kern Canyon Slender Salamander,VU,stable
aKPSAx,Batrachoseps robustus,Kern Plateau Salamander,59133,Batrachoseps robustus,Kern Plateau Salamander,NT,stable
aKRSSx,Batrachoseps regius,Kings River Slender Salamander,59132,Batrachoseps regius,Kings River Slender Salamander,VU,stable
aKSSAx,Plethodon kiamichi,Kiamichi Slimy Salamander,59345,Plethodon kiamichi,Kiamichi Slimy Salamander,DD,unknown
aLASAx,Plethodon kisatchie,Louisiana Slimy Salamander,59346,Plethodon kisatchie,Louisiana Slimy Salamander,LC,unknown
aLBTRx,Smilisca fodiens,Lowland Burrowing Treefrog,55907,Smilisca fodiens,Lowland Burrowing Treefrog,LC,stable
aLESIx,Siren intermedia,Lesser Siren,59491,Siren intermedia,Lesser Siren,LC,unknown
aLGFRx,Pseudacris ocularis,Little Grass Frog,55895,Pseudacris ocularis,Little Grass Frog,LC,stable
aLISAx,Hydromantes brunus,Limestone Salamander,10304,Hydromantes brunus,Limestone Salamander,VU,unknown
aLLFRx,Lithobates yavapaiensis,Lowland Leopard Frog,19181,Lithobates yavapaiensis,Rana De Yavapai,LC,decreasing
aLMSAx,Plethodon larselli,Larch Mountain Salamander,17625,Plethodon larselli,Larch Mountain Salamander,NT,stable
aLSSAx,Batrachoseps minor,Lesser Slender Salamander,59129,Batrachoseps minor,Lesser Slender Salamander,DD,unknown
aLTASx,Eurycea longicauda,Long-tailed Salamander,59268,Eurycea longicauda,Longtail Salamander,LC,stable
aLTOPx,Ambystoma macrodactylum,Long-toed Salamander,59063,Ambystoma macrodactylum,Long-toed Salamander,LC,stable
aMASAx,Ambystoma opacum,Marbled Salamander,59065,Ambystoma opacum,Marbled Salamander,LC,stable
aMBSAx,Ambystoma mabeei,Mabee's Salamander,59062,Ambystoma mabeei,Mabee's Salamander,LC,decreasing
aMCFRx,Pseudacris brachyphona,Mountain Chorus Frog,55888,Pseudacris brachyphona,Mountain Chorus Frog,LC,unknown
aMIFRx,Lithobates septentrionalis,Mink Frog,58713,Lithobates septentrionalis,Mink Frog,LC,stable
aMLSAx,Stereochilus marginatus,Many-lined Salamander,59406,Stereochilus marginatus,Many-lined Salamander,LC,unknown
aMLYSx,Hydromantes platycephalus,Mount Lyell Salamander,59286,Hydromantes platycephalus,Mount Lyell Salamander,LC,stable
