Species ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Authority	Infraspecific rank	Infraspecific name	Infraspecific authority	Stock/subpopulation	Synonyms	Common names (Eng)	Common names (Fre)	Common names (Spa)	Red List status	Red List criteria	Red List criteria version	Year assessed	Population trend	Petitioned
41422	ANIMALIA	CHORDATA	MAMMALIA	EULIPOTYPHLA	SORICIDAE	Sorex	tundrensis	"Merriam, 1900"						"Tundra Shrew, TUNDRA SHREW"		"Musaraña de Tundra, MUSARAÑA DE TUNDRA"	LC		3.1	2016	stable	N
41423	ANIMALIA	CHORDATA	MAMMALIA	EULIPOTYPHLA	SORICIDAE	Sorex	ugyunak	"Anderson & Rand, 1945"						Barren Ground Shrew			LC		3.1	2016	stable	N
41425	ANIMALIA	CHORDATA	MAMMALIA	EULIPOTYPHLA	SORICIDAE	Sorex	vagrans	"Baird, 1857"						Vagrant Shrew			LC		3.1	2016	stable	N
136542	ANIMALIA	CHORDATA	MAMMALIA	EULIPOTYPHLA	SORICIDAE	Sorex	yukonicus	"Dokuchaev, 1997"					Sorex minutissimus  	"Alaska Tiny Shrew, Least Siberian Shrew, Least Shrew, Miniscule Shrew"			LC		3.1	2008	unknown	N
20424	ANIMALIA	CHORDATA	MAMMALIA	CETARTIODACTYLA	DELPHINIDAE	Sousa	chinensis	"(Osbeck, 1765)"						"Indo-pacific Hump-backed Dolphin, Indo-Pacific Humpbacked Dolphin, Indo-pacific Humpback Dolphin, Chinese White Dolphin"	Dauphin À Bosse De L'Indo-pacifique	"Bufeo Asiático, Bufeo Asiático, Delfín Blanco De China, Delfín Blanco De China"	NT		3.1	2008	decreasing	N
22680247	ANIMALIA	CHORDATA	AVES	ANSERIFORMES	ANATIDAE	Spatula	clypeata	"(Linnaeus, 1758)"					Anas clypeata	"Northern Shoveler, Shoveler"	Canard souchet		LC		3.1	2016	decreasing	N
22680233	ANIMALIA	CHORDATA	AVES	ANSERIFORMES	ANATIDAE	Spatula	cyanoptera	"(Vieillot, 1816)"					Anas cyanoptera	Cinnamon Teal			LC		3.1	2016	decreasing	N
22680229	ANIMALIA	CHORDATA	AVES	ANSERIFORMES	ANATIDAE	Spatula	discors	"(Linnaeus, 1766)"					Anas discors	Blue-winged Teal	Sarcelle à ailes bleues		LC		3.1	2016	decreasing	N
22680313	ANIMALIA	CHORDATA	AVES	ANSERIFORMES	ANATIDAE	Spatula	querquedula	"(Linnaeus, 1758)"					Anas querquedula	Garganey	Sarcelle d'été		LC		3.1	2016	decreasing	N
59044	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	SCAPHIOPODIDAE	Spea	bombifrons	"(Cope, 1863)"						Plains Spadefoot			LC		3.1	2015	stable	N
