gapSppCode,gapComName,gapSciName,iucnTaxonID,iucnComName,iucnSciName,originUS,RedListStatus,PopulationTrend,iucnTrend,hucCount,meanPercUse,habBreadth,L2endemic,spp10p,Endemic,Group,Subgroup,potRare,Spp,totalSppPix,SppProt,SppPercProt
bCLNUx,Clark's Nutcracker,Nucifraga columbiana,22705909.0,Clark's Nutcracker,Nucifraga columbiana,Native,LC,increasing,0,18754,32.55128732494994,0,0,0,0,A,A,0,bCLNUx,594032487,110305531,19
bCLRAx,Clapper Rail,Rallus longirostris,62155296.0,Clapper Rail,Rallus crepitans,Native,LC,decreasing,1,2507,6.928684465083396,1,0,0,0,F,DD,1,bCLRAx,34175897,10828124,32
bCLSWx,Cliff Swallow,Petrochelidon pyrrhonota,22712427.0,Cliff Swallow,Petrochelidon pyrrhonota,Native,LC,increasing,0,72255,57.94014294367379,0,0,0,0,A,A,0,bCLSWx,4407273988,171508069,4
bCMWAx,Cape May Warbler,Dendroica tigrina,22721670.0,Cape May Warbler,Setophaga tigrina,Native,LC,stable,0,3027,45.076674382484654,0,0,0,0,A,A,0,bCMWAx,138403002,22635122,16
bCOBHx,Common Black-hawk,Buteogallus anthracinus,22735514.0,Common Black Hawk,Buteogallus anthracinus,Native,LC,increasing,0,1763,0.5430175730467405,1,0,1,1,E,TR,1,bCOBHx,1028178,158797,15
bCOEIx,Common Eider,Somateria mollissima,22680405.0,Common Eider,Somateria mollissima,Native,NT,unknown,0,711,24.553156590919013,0,0,0,0,A,A,0,bCOEIx,32362484,378014,1
bCOFLx,Cordilleran Flycatcher,Empidonax occidentalis,22699874.0,Cordilleran Flycatcher,Empidonax occidentalis,Native,LC,decreasing,1,17008,22.99168908726984,0,1,0,1,G,DD,1,bCOFLx,371576272,68802399,19
bCOGDx,Common Ground-dove,Columbina passerina,22690774.0,Common Ground-dove,Columbina passerina,Native,LC,decreasing,1,11283,51.40835955931683,0,0,0,0,D,DD,1,bCOGDx,686787533,56630235,8
bCOGOx,Common Goldeneye,Bucephala clangula,22680455.0,Common Goldeneye,Bucephala clangula,Native,LC,stable,0,24288,4.651038417887111,1,0,0,0,C,TR,1,bCOGOx,167932950,13254458,8
bCOGRx,Common Grackle,Quiscalus quiscula,22724320.0,Common Grackle,Quiscalus quiscula,Native,LC,decreasing,1,59047,28.233245777245426,0,0,0,0,D,DD,1,bCOGRx,1693886441,63297333,4
bCOHAx,Cooper's Hawk,Accipiter cooperii,22695656.0,Cooper's Hawk,Accipiter cooperii,Native,LC,increasing,0,81462,73.08687024727641,0,0,0,0,A,A,0,bCOHAx,6104100874,433743464,7
bCOHUx,Costa's Hummingbird,Calypte costae,22688202.0,Costa's Hummingbird,Calypte costae,Native,LC,stable,0,3225,57.9088724689763,0,1,0,1,B,TR,1,bCOHUx,208606068,55867827,27
bCOKIx,Couch's Kingbird,Tyrannus couchii,22700488.0,Couch's Kingbird,Tyrannus couchii,Native,LC,increasing,0,388,70.25535242962997,0,0,0,0,A,A,0,bCOKIx,39186895,361731,1
bCOLOx,Common Loon,Gavia immer,22697842.0,Common Loon,Gavia immer,Native,LC,stable,0,7705,14.556885290683065,0,0,0,0,A,A,0,bCOLOx,311407802,22986502,7
bCOLWx,Colima Warbler,Vermivora crissalis,22721633.0,Colima Warbler,Leiothlypis crissalis,Native,LC,decreasing,1,19,4.392909530068491,1,1,1,1,H,DD,1,bCOLWx,104864,100207,96
bCOMEx,Common Merganser,Mergus merganser,22680492.0,Goosander,Mergus merganser,Native,LC,increasing,0,17645,4.121354180415087,1,0,0,0,C,TR,1,bCOMEx,102316821,8537121,8
bCOMOx,Common Moorhen,Gallinula chloropus,62120280.0,Common Moorhen,Gallinula galeata,Native,LC,stable,0,20735,5.646399922593959,1,0,0,0,C,TR,1,bCOMOx,158636408,24543464,15
bCOMUx,Common Murre,Uria aalge,22694841.0,Common Murre,Uria aalge,Native,LC,increasing,0,579,38.15972802422454,0,0,0,0,A,A,0,bCOMUx,68005608,4830832,7
bCOMYx,Common Myna,Acridotheres tristis,22710921.0,Common Myna,Acridotheres tristis,Introduced,LC,increasing,0,188,36.844775490382965,0,0,0,0,X,X,0,bCOMYx,17547050,2930940,17
bCONIx,Common Nighthawk,Chordeiles minor,22689714.0,Common Nighthawk,Chordeiles minor,Native,LC,decreasing,1,78469,97.34280126020242,0,0,0,0,D,DD,1,bCONIx,8074349889,482703041,6
bCONWx,Connecticut Warbler,Oporornis agilis,22721818.0,Connecticut Warbler,Oporornis agilis,Native,LC,decreasing,1,2013,46.701732156407566,0,1,0,1,G,DD,1,bCONWx,95994697,19218958,20
bCOPAx,Common Pauraque,Nyctidromus albicollis,22689731.0,Pauraque,Nyctidromus albicollis,Native,LC,decreasing,1,150,45.97137487388638,0,1,0,1,G,DD,1,bCOPAx,14857354,348936,2
bCOPOx,Common Poorwill,Phalaenoptilus nuttallii,22689735.0,Common Poorwill,Phalaenoptilus nuttallii,Native,LC,increasing,0,31836,48.272122911574144,0,0,0,0,A,A,0,bCOPOx,1719484024,208769032,12
bCORAx,Common Raven,Corvus corax,22706068.0,Common Raven,Corvus corax,Native,LC,increasing,0,34941,93.19291738184532,0,0,0,0,A,A,0,bCORAx,3397758271,465020302,14
bCOREx,Common Redpoll,Carduelis flammea,22725044.0,Redpoll,Acanthis flammea,Native,LC,decreasing,1,22411,45.9577564288781,0,0,0,0,D,DD,1,bCOREx,1047948312,67917036,6
bCOTEx,Common Tern,Sterna hirundo,22694623.0,Common Tern,Sterna hirundo,Native,LC,unknown,0,5748,8.513111371722665,1,0,0,0,C,TR,1,bCOTEx,131202291,6885932,5
bCOYEx,Common Yellowthroat,Geothlypis trichas,22721836.0,Common Yellowthroat,Geothlypis trichas,Native,LC,stable,0,74635,45.013432287507676,0,0,0,0,A,A,0,bCOYEx,3456254393,240282328,7
bCRCAx,Crested Caracara,Caracara cheriway,22696255.0,Crested Caracara,Caracara cheriway,Native,LC,increasing,0,2527,47.661711169879005,0,0,0,0,A,A,0,bCRCAx,150933677,3629009,2
bCRTHx,Crissal Thrasher,Toxostoma crissale,22711127.0,Crissal Thrasher,Toxostoma crissale,Native,LC,stable,0,5537,36.11325892668568,0,0,0,0,A,A,0,bCRTHx,228394087,26884929,12
bCSWAx,Chestnut-sided Warbler,Dendroica pensylvanica,22721664.0,Chestnut-sided Warbler,Setophaga pensylvanica,Native,LC,decreasing,1,10668,16.177008766207813,0,0,0,0,D,DD,1,bCSWAx,172586965,19653705,11
bCWWIx,Chuck-will's-widow,Caprimulgus carolinensis,22689778.0,Chuck-will's-widow,Antrostomus carolinensis,Native,LC,decreasing,1,20689,50.28065079407361,0,0,0,0,D,DD,1,bCWWIx,1090157210,29174867,3
bDCCOx,Double-crested Cormorant,Phalacrocorax auritus,22696776.0,Double-crested Cormorant,Nannopterum auritus,Native,LC,increasing,0,33188,18.611182672835785,0,0,0,0,A,A,0,bDCCOx,744348506,70424904,9
bDCFLx,Dusky-capped Flycatcher,Myiarchus tuberculifer,22700399.0,Dusky-capped Flycatcher,Myiarchus tuberculifer,Native,LC,decreasing,1,858,22.476068730888485,0,0,0,0,D,DD,1,bDCFLx,18309779,2408726,13
