gapSppCode,gapComName,gapSciName,iucnTaxonID,iucnComName,iucnSciName,originUS,RedListStatus,PopulationTrend,iucnTrend,hucCount,meanPercUse,habBreadth,L2endemic,spp10p,Endemic,Group,Subgroup,potRare,Spp,totalSppPix,SppProt,SppPercProt
aABSAx,Austin Blind Salamander,Eurycea waterlooensis,59278.0,Austin Blind Salamander,Eurycea waterlooensis,Native,VU,unknown,1,2,1.055310382482996,1,1,1,1,H,DD,1,aABSAx,3235,650,20
aACSSx,Atlantic Coast Slimy Salamander,Plethodon chlorobryonis,59340.0,Slimy Salamander,Plethodon glutinosus,Native,LC,stable,0,1442,16.67731826932789,0,0,0,0,A,A,0,aACSSx,23035633,1143064,5
aADSAx,Apalachicola Dusky Salamander,Desmognathus apalachicolae,59244.0,Apalachicola Dusky Salamander,Desmognathus apalachicolae,Native,LC,stable,0,347,4.925603734973309,1,1,0,1,E,TR,1,aADSAx,1623192,30662,2
aAGTOx,Amargosa Toad,Anaxyrus nelsoni,3181.0,,Anaxyrus nelsoni,Native,EN,decreasing,1,7,3.343315131645614,1,1,1,1,H,DD,1,aAGTOx,34261,1485,4
aAMBUx,American Bullfrog,Lithobates catesbeianus,58565.0,American Bullfrog,Lithobates catesbeianus,Native,LC,increasing,0,63144,16.42505738316785,0,0,0,0,A,A,0,aAMBUx,1064358178,75795825,7
aAMDSx,Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,59253.0,Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,Native,LC,unknown,0,3466,3.2759058963934766,1,0,0,0,C,TR,1,aAMDSx,11422891,1028549,9
aAMTOx,American Toad,Anaxyrus americanus,54570.0,American Toad,Anaxyrus americanus,Native,LC,stable,0,33354,26.700723299470955,0,0,0,0,A,A,0,aAMTOx,891841035,30411460,3
aARSAx,Arboreal Salamander,Aneides lugubris,59118.0,Arboreal Salamander,Aneides lugubris,Native,LC,stable,0,1825,10.289068772084514,0,1,0,1,B,TR,1,aARSAx,18365730,1913504,10
aARTOx,Arroyo Toad,Anaxyrus californicus,54599.0,Arroyo Toad,Anaxyrus californicus,Native,EN,decreasing,1,504,16.890273063575858,0,1,0,1,G,DD,1,aARTOx,8459046,1552303,18
aAZTOx,Arizona Toad,Anaxyrus microscaphus,54709.0,Arizona Toad,Anaxyrus microscaphus,Native,LC,decreasing,1,1704,7.62549735753186,1,1,0,1,H,DD,1,aAZTOx,12439217,1307096,11
aAZTRx,Arizona Treefrog,Hyla wrightorum,55696.0,Wright's Mountain Treefrog,Dryophytes wrightorum,Native,LC,stable,0,1040,13.041898079097741,0,1,0,1,B,TR,1,aAZTRx,13120242,1600348,12
aBAFRx,Barking Frog,Craugastor augusti,56438.0,Barking Frog,Craugastor augusti,Native,LC,stable,0,1341,2.085939203382531,1,0,0,0,C,TR,1,aBAFRx,3292013,168016,5
aBATRx,Barking Treefrog,Hyla gratiosa,55495.0,Barking Treefrog,Dryophytes gratiosus,Native,LC,stable,0,6718,14.119289241117349,0,0,0,0,A,A,0,aBATRx,110526979,11120012,10
aBBSSx,Black-bellied Slender Salamander,Batrachoseps nigriventris,59130.0,Blackbelly Slender Salamander,Batrachoseps nigriventris,Native,LC,stable,0,506,40.54893555301328,0,1,0,1,B,TR,1,aBBSSx,21097659,3374262,16
aBCSAx,Berry Cave Salamander,Gyrinophilus gulolineatus,59280.0,Berry Cave Salamander,Gyrinophilus gulolineatus,Native,EN,decreasing,1,3,2.7007050263523213,1,1,1,1,H,DD,1,aBCSAx,11961,79,1
aBCTRx,Baja California Treefrog,Pseudacris hypochondriaca,55897.0,Pacific Treefrog,Pseudacris regilla,Native,LC,stable,0,1954,4.5617089816793825,1,0,0,0,C,TR,1,aBCTRx,10061897,3188233,32
aBESAx,Black-bellied Salamander,Desmognathus quadramaculatus,59256.0,Blackbelly Salamander,Desmognathus quadramaculatus,Native,LC,stable,0,910,3.9018581897579176,1,1,0,1,E,TR,1,aBESAx,3438162,572149,17
aBGCSx,Blue Ridge Gray-cheeked Salamander,Plethodon amplus,59330.0,Blue Ridge Gray-cheeked Salamander,Plethodon amplus,Native,VU,unknown,1,21,4.6481794580265205,1,1,1,1,H,DD,1,aBGCSx,94657,10613,11
aBGSAx,Big Levels Salamander,Plethodon sherando,61905.0,Big Levels Salamander,Plethodon sherando,Native,VU,unknown,1,11,22.573769856854852,0,1,0,1,G,DD,1,aBGSAx,210409,102344,49
aBLASx,Black Salamander,Aneides flavipunctatus,59116.0,Black Salamander,Aneides flavipunctatus,Native,NT,decreasing,1,800,59.84564284809432,0,0,0,0,D,DD,1,aBLASx,46382231,6603017,14
aBLSAx,Blanco Blind Salamander,Eurycea robusta,39263.0,Blanco Blind Salamander,Eurycea robusta,Native,DD,unknown,0,5,0.4471378873093614,1,1,1,1,E,TR,1,aBLSAx,2728,22,1
aBLTOx,Black Toad,Anaxyrus exsul,3169.0,Black Toad,Anaxyrus exsul,Native,VU,stable,1,9,0.8037506637847756,1,1,1,1,H,DD,1,aBLTOx,10466,137,1
aBMSAx,Black Mountain Salamander,Desmognathus welteri,59258.0,Black Mountain Salamander,Desmognathus welteri,Native,LC,unknown,0,486,2.8952538577421585,1,1,0,1,E,TR,1,aBMSAx,1439870,80585,6
aBOFRx,Boreal Chorus Frog,Pseudacris maculata,136004.0,Boreal Chorus Frog,Pseudacris maculata,Native,LC,stable,0,28249,2.5176222720400574,1,0,0,0,C,TR,1,aBOFRx,75341959,8224745,11
aBOTOx,Western Toad,Anaxyrus boreas,3179.0,Western Toad,Anaxyrus boreas,Native,LC,decreasing,1,15400,16.025461651598885,0,1,0,1,G,DD,1,aBOTOx,232190244,59754609,26
aBRDSx,Blue Ridge Dusky Salamander,Desmognathus orestes,59255.0,Blue Ridge Dusky Salamander,Desmognathus orestes,Native,LC,stable,0,168,6.663606311533796,1,1,0,1,E,TR,1,aBRDSx,1169802,65270,6
aBRFRx,Brimley's Chorus Frog,Pseudacris brimleyi,55889.0,Brimley's Chorus Frog,Pseudacris brimleyi,Native,LC,stable,0,1730,13.111032304860554,0,0,0,0,A,A,0,aBRFRx,22924318,2450896,11
aBRTSx,Blue Ridge Two-lined Salamander,Eurycea wilderae,59279.0,Blue Ridge Two-lined Salamander,Eurycea wilderae,Native,LC,stable,0,687,9.593694912032278,1,0,0,0,C,TR,1,aBRTSx,6127752,683480,11
aBSNEx,Black-spotted Newt,Notophthalmus meridionalis,59452.0,Black-spotted Newt,Notophthalmus meridionalis,Native,EN,decreasing,1,201,3.7747803447874233,1,1,0,1,H,DD,1,aBSNEx,1159258,27297,2
aBSPSx,Barton Springs Salamander,Eurycea sosorum,8392.0,Barton Springs Salamander,Eurycea sosorum,Native,VU,stable,1,5,4.004115097931819,1,1,1,1,H,DD,1,aBSPSx,29781,2718,9
aBTISx,Barred Tiger Salamander,Ambystoma mavortium,199970.0,Western Tiger Salamander,Ambystoma mavortium,Native,LC,unknown,0,28881,6.1803609866471065,1,0,0,0,C,TR,1,aBTISx,201160583,8649292,4
aBUPSx,Blue-spotted Salamander,Ambystoma laterale,59060.0,Blue-spotted Salamander,Ambystoma laterale,Native,LC,stable,0,9132,29.440299543073692,0,0,0,0,A,A,0,aBUPSx,263928355,31310197,12
aBUTOx,Burrowing Toad,Rhinophrynus dorsalis,59040.0,Burrowing Toad,Rhinophrynus dorsalis,Native,LC,stable,0,97,53.01706664321846,0,1,0,1,B,TR,1,aBUTOx,6182576,68265,1
aBVTRx,Bird-voiced Treefrog,Hyla avivoca,55403.0,Bird-voiced Treefrog,Dryophytes avivoca,Native,LC,stable,0,5462,10.278371898466675,0,0,0,0,A,A,0,aBVTRx,65534950,6677613,10
aBWRWx,Black Warrior River Waterdog,Necturus alabamensis,59430.0,Alabama Waterdog,Necturus alabamensis,Native,EN,decreasing,1,156,0.08212673247953836,1,1,1,1,H,DD,1,aBWRWx,15763,111,1
aCANEx,Cane Toad,Rhinella marinus,41065.0,Cane Toad,Rhinella marina,Native,LC,increasing,0,361,3.088481646206311,1,1,0,1,E,TR,1,aCANEx,1459575,70493,5
aCASAx,Calfifornia Giant Salamander,Dicamptodon ensatus,59080.0,California Giant Salamander,Dicamptodon ensatus,Native,NT,unknown,0,202,6.579492025962563,1,0,0,0,C,TR,1,aCASAx,1314340,181995,14
aCATOx,Canadian Toad,Anaxyrus hemiophrys,54661.0,Canadian Toad,Anaxyrus hemiophrys,Native,LC,stable,0,2673,9.27409430146976,1,0,0,0,C,TR,1,aCATOx,27946827,1903908,7
aCATRx,California Treefrog,Pseudacris cadaverina,55890.0,California Chorus Frog,Pseudacris cadaverina,Native,LC,stable,0,636,3.6900279622836174,1,1,0,1,E,TR,1,aCATRx,2288997,612299,27
aCBSAx,Comal Blind Salamander,Eurycea tridentifera,8393.0,Comal Blind Salamander,Eurycea tridentifera,Native,VU,unknown,1,17,1.6838275663733837,1,1,1,1,H,DD,1,aCBSAx,35487,441,1
aCCFRx,Cliff Chirping Frog,Eleutherodactylus marnockii,56744.0,Cliff Chirping Frog,Eleutherodactylus marnockii,Native,LC,stable,0,1008,3.4092881689625467,1,1,0,1,E,TR,1,aCCFRx,3926172,140476,4
aCCSAx,Cascade Caverns Salamander,Eurycea latitans,59267.0,Cascade Caverns Salamander,Eurycea latitans,Native,VU,decreasing,1,63,4.288139371292954,1,1,0,1,H,DD,1,aCCSAx,309557,8086,3
aCFNEx,California Newt,Taricha torosa,59471.0,Coast Range Newt,Taricha torosa,Native,LC,unknown,0,1002,44.451120298476354,0,1,0,1,B,TR,1,aCFNEx,43420368,4758507,11
aCGSAx,Cope's Giant Salamander,Dicamptodon copei,59079.0,Cope's Giant Salamander,Dicamptodon copei,Native,LC,stable,0,478,11.701433589508918,0,0,0,0,A,A,0,aCGSAx,5185240,1096392,21
aCGTRx,Cope's Gray Treefrog,Hyla chrysoscelis,55448.0,Cope's Gray Treefrog,Dryophytes chrysoscelis,Native,LC,stable,0,39527,30.64345557448209,0,0,0,0,A,A,0,aCGTRx,1227782641,59388094,5
aCHDSx,Chamberlain's Dwarf Salamander,Eurycea chamberlaini,59262.0,Chamberlain's Dwarf Salamander,Eurycea chamberlaini,Native,DD,unknown,0,1240,5.727609028055719,1,1,0,1,E,TR,1,aCHDSx,7106485,380891,5
aCHSAx,Cheoah Bald Salamander,Plethodon cheoah,59333.0,Cheoah Bald Salamander,Plethodon cheoah,Native,VU,stable,1,14,13.045047068135743,0,1,0,1,G,DD,1,aCHSAx,158988,204,0
aCISSx,Channel Islands Slender Salamander,Batrachoseps pacificus,59131.0,Channel Islands Slender Salamander,Batrachoseps pacificus,Native,LC,stable,0,6,24.13971796538845,0,1,0,1,B,TR,1,aCISSx,546923,299429,55
aCKSAx,Cow Knob Salamander,Plethodon punctatus,59351.0,White-spotted Salamander,Plethodon punctatus,Native,NT,stable,0,74,5.752803153809944,1,1,0,1,E,TR,1,aCKSAx,440621,39334,9
aCLFRx,Chiricahua Leopard Frog,Lithobates chiricahuensis,58575.0,Chiricahua Leopard Frog,Lithobates chiricahuensis,Native,VU,decreasing,1,1369,0.3281719792162934,1,0,0,0,F,DD,1,aCLFRx,463294,69121,15
aCLSAx,Clouded Salamander,Aneides ferreus,59115.0,Clouded Salamander,Aneides ferreus,Native,NT,decreasing,1,1129,59.6401473258757,0,0,0,0,D,DD,1,aCLSAx,57365347,6061512,11
aCMDSx,Carolina Mountain Dusky Salamander,Desmognathus carolinensis,59247.0,Carolina Mountain Dusky Salamander,Desmognathus carolinensis,Native,LC,stable,0,125,9.385063376336742,1,1,0,1,E,TR,1,aCMDSx,1142661,70700,6
aCMSAx,Caddo Mountain Salamander,Plethodon caddoensis,17630.0,Caddo Mountain Salamander,Plethodon caddoensis,Native,NT,unknown,0,56,27.1043824933598,0,1,0,1,B,TR,1,aCMSAx,1679055,948812,57
aCMTSx,Cheat Mountain Salamander,Plethodon nettingi,17627.0,Cheat Mountain Salamander,Plethodon nettingi,Native,NT,stable,0,58,30.335826437207203,0,1,0,1,B,TR,1,aCMTSx,2118939,246995,12
aCOFRx,Columbia Spotted Frog,Rana luteiventris,58649.0,Columbia Spotted Frog,Rana luteiventris,Native,LC,decreasing,1,7693,1.9112662677003616,1,0,0,0,F,DD,1,aCOFRx,14489289,2053858,14
aCOGSx,Coastal Giant Salamander,Dicamptodon tenebrosus,59081.0,Coastal Giant Salamander,Dicamptodon tenebrosus,Native,LC,stable,0,2386,3.8039750757060986,1,0,0,0,C,TR,1,aCOGSx,8442314,1311126,16
aCOSAx,Coeur D'alene Salamander,Plethodon idahoensis,59342.0,Coeur D'Alene Salamander,Plethodon idahoensis,Native,LC,unknown,0,1050,11.314019477980304,0,1,0,1,B,TR,1,aCOSAx,11567228,1013845,9
aCOSPx,Couch's Spadefoot,Scaphiopus couchii,59041.0,Couch's Spadefoot Toad,Scaphiopus couchii,Native,LC,stable,0,10348,60.553920074442146,0,0,0,0,A,A,0,aCOSPx,745637944,36313960,5
aCPSAx,Cumberland Plateau Salamander,Plethodon kentucki,59344.0,Cumberland Plateau Salamander,Plethodon kentucki,Native,LC,stable,0,456,8.064580439757687,1,1,0,1,E,TR,1,aCPSAx,3529049,95971,3
aCRFRx,Carpenter Frog,Lithobates virgatipes,58747.0,Carpenter Frog,Lithobates virgatipes,Native,LC,unknown,0,1551,19.503706831718066,0,0,0,0,A,A,0,aCRFRx,33612209,5291578,16
aCRLFx,California Red-legged Frog,Rana draytonii,136113.0,California Red-legged Frog,Rana draytonii,Native,VU,decreasing,1,1267,3.4752634951096373,1,0,0,0,F,DD,1,aCRLFx,4278212,503797,12
aCSFRx,Cascades Frog,Rana cascadae,19176.0,Cascades Frog,Rana cascadae,Native,NT,decreasing,1,1720,7.653830105516657,1,1,0,1,H,DD,1,aCSFRx,12338343,3587520,29
aCSLSx,California Slender Salamander,Batrachoseps attenuatus,59120.0,California Slender Salamander,Batrachoseps attenuatus,Native,LC,stable,0,1080,45.95778789006256,0,0,0,0,A,A,0,aCSLSx,48552716,6336412,13
aCSMSx,Chattahoochee Slimy Salamander,Plethodon chattahoochee,59340.0,Slimy Salamander,Plethodon glutinosus,Native,LC,stable,0,180,43.00911894489304,0,1,0,1,B,TR,1,aCSMSx,5904228,784564,13
aCTFRx,Coastal Tailed Frog,Ascaphus truei,54414.0,Coastal Tailed Frog,Ascaphus truei,Native,LC,unknown,0,2647,27.19682126509573,0,0,0,0,A,A,0,aCTFRx,65888372,12796912,19
aCTGSx,California Tiger Salamander,Ambystoma californiense,1098.0,California Tiger Salamander,Ambystoma californiense,Native,VU,decreasing,1,599,22.357240535943227,0,1,0,1,G,DD,1,aCTGSx,12993024,800900,6
aCTOSx,Columbia Torrent Salamander,Rhyacotriton kezeri,59436.0,Columbia Torrent Salamander,Rhyacotriton kezeri,Native,NT,stable,0,249,21.11650844804792,0,1,0,1,B,TR,1,aCTOSx,4536209,95380,2
aCTRSx,Cascade Torrent Salamander,Rhyacotriton cascadae,59435.0,Cascade Torrent Salamander,Rhyacotriton cascadae,Native,NT,decreasing,1,485,13.389512800979533,0,1,0,1,G,DD,1,aCTRSx,5510967,880359,16
aCUDSx,Cumberland Dusky Salamander,Desmognathus abditus,61902.0,Cumberland Dusky Salamander,Desmognathus abditus,Native,NT,unknown,0,35,4.805615182448773,1,1,0,1,E,TR,1,aCUDSx,204256,34219,17
aCUTRx,Cuban Treefrog,Osteopilus septentrionalis,55811.0,Cuban Treefrog,Osteopilus septentrionalis,Introduced,LC,increasing,0,421,35.83620303094361,0,0,0,0,X,X,0,aCUTRx,24779809,4092835,17
aCVSAx,Cave Salamander,Eurycea lucifuga,59269.0,Cave Salamander,Eurycea lucifuga,Native,LC,unknown,0,5210,42.22553965858544,0,0,0,0,A,A,0,aCVSAx,224312720,13702541,6
aCWFRx,Crawfish Frog,Lithobates areolatus,58546.0,Crawfish Frog,Lithobates areolatus,Native,NT,decreasing,1,8344,69.48638664133678,0,0,0,0,D,DD,1,aCWFRx,615357502,19190083,3
aCYTRx,Canyon Treefrog,Hyla arenicolor,55396.0,Canyon Treefrog,Dryophytes arenicolor,Native,LC,stable,0,6060,7.3558867002353345,1,0,0,0,C,TR,1,aCYTRx,46605238,6043551,13
aDASAx,Dark-sided Salamander,Eurycea aquatica,59264.0,Southern Two-lined Salamander,Eurycea cirrigera,Native,LC,stable,0,226,5.677031746679641,1,1,0,1,E,TR,1,aDASAx,1415058,65506,5
aDBBSx,Dwarf Black-bellied Salamander,Desmognathus folkertsi,59248.0,Dwarf Black-bellied Salamander,Desmognathus folkertsi,Native,DD,unknown,0,34,3.3705171721678915,1,1,1,1,E,TR,1,aDBBSx,93743,27970,30
aDGFRx,Dusky Gopher Frog,Lithobates sevosus,58714.0,Dusky Gopher Frog,Lithobates sevosus,Native,CR,decreasing,1,24,4.918079044952519,1,1,1,1,H,DD,1,aDGFRx,145588,22438,15
aDNSAx,Del Norte Salamander,Plethodon elongatus,59339.0,Del Norte Salamander,Plethodon elongatus,Native,NT,decreasing,1,340,53.510927899507706,0,0,0,0,D,DD,1,aDNSAx,17319515,3041624,18
aDUSAx,Dunn's Salamander,Plethodon dunni,59337.0,Dunn's Salamander,Plethodon dunni,Native,LC,stable,0,1104,10.627553395558133,0,0,0,0,A,A,0,aDUSAx,10172628,994800,10
aDWSAx,Dwarf Salamander,Eurycea quadridigitata,59274.0,Dwarf Salamander,Eurycea quadridigitata,Native,LC,stable,0,7484,13.084196779675338,0,0,0,0,A,A,0,aDWSAx,115086026,9698167,8
aDWWAx,Dwarf Waterdog,Necturus punctatus,59434.0,Dwarf Waterdog,Necturus punctatus,Native,LC,unknown,0,2136,9.515045483356364,1,0,0,0,C,TR,1,aDWWAx,21507003,2116930,10
aEANEx,Eastern Newt,Notophthalmus viridescens,59453.0,Eastern Newt,Notophthalmus viridescens,Native,LC,stable,0,32071,18.491915133767773,0,0,0,0,A,A,0,aEANEx,614276400,47863770,8
aEASPx,Eastern Spadefoot,Scaphiopus holbrookii,59042.0,Eastern Spadefoot,Scaphiopus holbrookii,Native,LC,stable,0,13780,38.013849925350094,0,0,0,0,A,A,0,aEASPx,545260260,23903197,4
aENMTx,Eastern Narrow-mouthed Toad,Gastrophryne carolinensis,57813.0,Eastern Narrowmouth Toad,Gastrophryne carolinensis,Native,LC,stable,0,17398,65.26576002625872,0,0,0,0,A,A,0,aENMTx,1221117961,48310297,4
aENSAx,Ensatina,Ensatina eschscholtzii,59260.0,Ensatina,Ensatina eschscholtzii,Native,LC,stable,0,4903,42.66830972783062,0,0,0,0,A,A,0,aENSAx,198257406,30614207,15
aERBSx,Eastern Red-backed Salamander,Plethodon cinereus,59334.0,Eastern Red-backed Salamander,Plethodon cinereus,Native,LC,stable,0,14730,40.47718435257275,0,0,0,0,A,A,0,aERBSx,574634686,54158152,9
aETSAx,Eastern Tiger Salamander,Ambystoma tigrinum,83293207.0,Tiger Salamander,Ambystoma tigrinum,Native,LC,stable,0,19893,7.981198941456529,1,0,0,0,C,TR,1,aETSAx,169976912,13314442,8
aFBFRx,Florida Bog Frog,Lithobates okaloosae,58684.0,Florida Bog Frog,Lithobates okaloosae,Native,VU,unknown,1,107,3.860513370219304,1,0,0,0,F,DD,1,aFBFRx,415897,3469,1
aFBSAx,Fern Bank Salamander,Eurycea pterophila,59273.0,Blanco River Springs Salamander,Eurycea pterophila,Native,DD,unknown,0,46,4.991558584474793,1,1,0,1,E,TR,1,aFBSAx,270962,2817,1
aFFSAx,Frosted Flatwoods Salamander,Ambystoma cingulatum,1099.0,Frosted Flatwoods Salamander,Ambystoma cingulatum,Native,VU,decreasing,1,1510,12.28075986879678,0,0,0,0,D,DD,1,aFFSAx,22054448,2445225,11
aFMSAx,Fourch Mountain Salamander,Plethodon fourchensis,17631.0,Fourche Mountain Salamander,Plethodon fourchensis,Native,VU,unknown,1,25,22.083030233787184,0,1,0,1,G,DD,1,aFMSAx,603698,394257,65
aFOTOx,Fowler's Toad,Anaxyrus fowleri,54640.0,Fowler's Toad,Anaxyrus fowleri,Native,LC,stable,0,24696,72.84649986898245,0,0,0,0,A,A,0,aFOTOx,1792403642,61869031,3
aFTSAx,Four-toed Salamander,Hemidactylium scutatum,59285.0,Four-toed Salamander,Hemidactylium scutatum,Native,LC,stable,0,18011,6.649709397593999,1,0,0,0,C,TR,1,aFTSAx,119880522,10360980,9
aFYLFx,Foothill Yellow-legged Frog,Rana boylii,19175.0,Yellow-legged Frog,Rana boylii,Native,NT,decreasing,1,3117,7.98871634078682,1,0,0,0,F,DD,1,aFYLFx,23278936,3872834,17
aGBSAx,Georgia Blind Salamander,Haideotriton wallacei,59284.0,Georgia Blind Salamander,Eurycea wallacei,Native,VU,unknown,1,234,2.8985814091101414,1,1,0,1,H,DD,1,aGBSAx,578745,16647,3
aGBSPx,Great Basin Spadefoot,Spea intermontana,59046.0,Great Basin Spadefoot,Spea intermontana,Native,LC,stable,0,11270,84.78264733106819,0,1,0,1,B,TR,1,aGBSPx,1082702408,130058926,12
aGCTOx,Gulf Coast Toad,Ollotis nebulifer,54714.0,,Incilius nebulifer,Native,LC,stable,0,5081,64.71363641862436,0,0,0,0,A,A,0,aGCTOx,404666511,7353460,2
aGESAx,Georgetown Salamander,Eurycea naufragia,59271.0,San Gabriel Springs Salamander,Eurycea naufragia,Native,EN,decreasing,1,15,6.052731637992967,1,1,1,1,H,DD,1,aGESAx,109665,547,0
aGGSAx,Gregarious Salamander,Batrachoseps gregarius,59124.0,Gregarious Slender Salamander,Batrachoseps gregarius,Native,LC,stable,0,293,38.785719366208134,0,0,0,0,A,A,0,aGGSAx,10875002,961253,9
aGHFRx,Greenhouse Frog,Eleutherodactylus planirostris,56864.0,Greenhouse Frog,Eleutherodactylus planirostris,Introduced,LC,stable,0,1154,62.740295885431784,0,1,0,1,X,X,0,aGHFRx,96993781,6258126,6
aGMSSx,Gabilan Mountains Slender Salamander,Batrachoseps gavilanensis,59123.0,Gabilan Mountains Slender Salamander,Batrachoseps gavilanensis,Native,LC,stable,0,252,45.30962553661935,0,1,0,1,B,TR,1,aGMSSx,11401983,956185,8
aGOFRx,Gopher Frog,Lithobates capito,58564.0,Gopher Frog,Lithobates capito,Native,NT,decreasing,1,3609,7.780078035389386,1,0,0,0,F,DD,1,aGOFRx,30229402,1253534,4
aGPTOx,Great Plains Toad,Anaxyrus cognatus,54612.0,Great Plains Toad,Anaxyrus cognatus,Native,LC,unknown,0,24326,69.39640894015835,0,0,0,0,A,A,0,aGPTOx,1891386192,67046278,4
aGRFRx,Green Frog,Lithobates clamitans,58578.0,Green Frog,Lithobates clamitans,Native,LC,stable,0,34677,19.107308157673994,0,0,0,0,A,A,0,aGRFRx,686637480,38593999,6
aGRSAx,Green Salamander,Aneides aeneus,1282.0,Green Salamander,Aneides aeneus,Native,NT,decreasing,1,1897,22.25318976003646,0,1,0,1,G,DD,1,aGRSAx,42932003,1952306,5
aGRSIx,Greater Siren,Siren lacertina,59492.0,Greater Siren,Siren lacertina,Native,LC,unknown,0,4335,13.538450538867233,0,0,0,0,A,A,0,aGRSIx,67463801,7379400,11
aGRTOx,Green Toad,Anaxyrus debilis,54626.0,Sapo Verde,Anaxyrus debilis,Native,LC,stable,0,7980,59.63823044138354,0,0,0,0,A,A,0,aGRTOx,570123268,13508302,2
aGRTRx,Green Treefrog,Hyla cinerea,55449.0,American Green Treefrog,Dryophytes cinereus,Native,LC,stable,0,13851,14.890098755970616,0,0,0,0,A,A,0,aGRTRx,240965021,21499007,9
aGSALx,Grotto Salamander,Eurycea spelaea,22707.0,Grotto Salamander,Eurycea spelaea,Native,LC,unknown,0,1088,0.9811948115417716,1,1,0,1,E,TR,1,aGSALx,1123740,86338,8
aGSSAx,Garden Slender Salamander,Batrachoseps major,59128.0,Garden Slender Salamander,Batrachoseps major,Native,LC,stable,0,344,36.360802537377545,0,1,0,1,B,TR,1,aGSSAx,14254656,1706080,12
aGUWAx,Gulf Coast Waterdog,Necturus beyeri,59431.0,Gulf Coast Waterdog,Necturus beyeri,Native,LC,unknown,0,4119,2.8462778999509126,1,1,0,1,E,TR,1,aGUWAx,13501202,652030,5
aGYTRx,Gray Treefrog,Hyla versicolor,55687.0,Gray Treefrog,Dryophytes versicolor,Native,LC,stable,0,23370,22.410289366559486,0,0,0,0,A,A,0,aGYTRx,523276236,37088166,7
aHELLx,Hellbender,Cryptobranchus alleganiensis,59077.0,Hellbender,Cryptobranchus alleganiensis,Native,NT,decreasing,1,5088,2.452163839533055,1,0,0,0,F,DD,1,aHELLx,12438926,399683,3
aHHSSx,Hell Hollow Slender Salamander,Batrachoseps diabolicus,59121.0,Hell Hollow Slender Salamander,Batrachoseps diabolicus,Native,DD,unknown,0,116,5.558129729983847,1,0,0,0,C,TR,1,aHHSSx,568016,29911,5
aHOTOx,Houston Toad,Anaxyrus houstonensis,3170.0,Houston Toad,Anaxyrus houstonensis,Native,EN,decreasing,1,269,12.942950501717709,0,1,0,1,G,DD,1,aHOTOx,4094127,3936,0
aHUSPx,Hurter's Spadefoot,Scaphiopus hurterii,59043.0,Hurter's Spadefoot,Scaphiopus hurterii,Native,LC,stable,0,5288,35.074956150442034,0,0,0,0,A,A,0,aHUSPx,210333129,11561580,5
aIGSAx,Idaho Giant Salamander,Dicamptodon aterrimus,59078.0,Idaho Giant Salamander,Dicamptodon aterrimus,Native,LC,stable,0,813,26.292320780647305,0,1,0,1,B,TR,1,aIGSAx,20473533,4726866,23
aILGRx,Illinois Chorus Frog,Pseudacris illinoensis,55898.0,Strecker's Chorus Frog,Pseudacris streckeri,Native,LC,unknown,0,482,14.773402841978564,0,0,0,0,A,A,0,aILGRx,8230713,973612,12
aIMSAx,Imitator Salamander,Desmognathus imitator,59250.0,Imitator Salamander,Desmognathus imitator,Native,LC,stable,0,43,3.2285922964072657,1,1,1,1,E,TR,1,aIMSAx,128322,91960,72
aINSAx,Inyo Mountains Salamander,Batrachoseps campi,2649.0,Inyo Mountains Salamander,Batrachoseps campi,Native,EN,decreasing,1,21,12.01042881206802,0,1,0,1,G,DD,1,aINSAx,282448,188629,67
aJESAx,Jefferson Salamander,Ambystoma jeffersonianum,59059.0,Jefferson Salamander,Ambystoma jeffersonianum,Native,LC,stable,0,6775,5.0470231506912135,1,0,0,0,C,TR,1,aJESAx,30519238,1800638,6
aJMSAx,Jemez Mountains Salamander,Plethodon neomexicanus,17626.0,Jemez Mountains Salamander,Plethodon neomexicanus,Native,NT,stable,0,68,33.11993829000776,0,1,0,1,B,TR,1,aJMSAx,2663151,236718,9
aJPSAx,Jollyville Plateau Salamander,Eurycea tonkawae,59275.0,Jollyville Plateau Salamander,Eurycea tonkawae,Native,EN,decreasing,1,26,2.201011952517802,1,1,1,1,H,DD,1,aJPSAx,73086,3516,5
aJUSAx,Junaluska Salamander,Eurycea junaluska,59266.0,Junaluska Salamander,Eurycea junaluska,Native,VU,stable,1,66,9.345908353481992,1,1,0,1,H,DD,1,aJUSAx,597245,184958,31
aKCSSx,Kern Canyon Slender Salamander,Batrachoseps simatus,2647.0,Kern Canyon Slender Salamander,Batrachoseps simatus,Native,VU,stable,1,26,36.34931222150507,0,0,0,0,D,DD,1,aKCSSx,762195,21959,3
aKPSAx,Kern Plateau Salamander,Batrachoseps robustus,59133.0,Kern Plateau Salamander,Batrachoseps robustus,Native,NT,stable,0,51,12.32109117049536,0,1,0,1,B,TR,1,aKPSAx,784217,500298,64
aKRSSx,Kings River Slender Salamander,Batrachoseps regius,59132.0,Kings River Slender Salamander,Batrachoseps regius,Native,VU,stable,1,65,39.796235442610346,0,0,0,0,D,DD,1,aKRSSx,2392238,840007,35
