strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd
bBANOx,Tyto alba,Barn Owl,22688504,Tyto alba,Common Barn-owl,LC,stable
bBANSx,Riparia riparia,Bank Swallow,103815961,Riparia riparia,Collared Sand Martin,LC,decreasing
bBAORx,Icterus galbula,Baltimore Oriole,22724126,Icterus galbula,Baltimore Oriole,LC,stable
bBARSx,Hirundo rustica,Barn Swallow,22712252,Hirundo rustica,Barn Swallow,LC,decreasing
bBAWWx,Mniotilta varia,Black-and-White Warbler,22721758,Mniotilta varia,Black-and-white Warbler,LC,decreasing
bBBCUx,Coccyzus erythropthalmus,Black-billed Cuckoo,22684328,Coccyzus erythropthalmus,Black-billed Cuckoo,LC,decreasing
bBBEHx,Amazilia yucatanensis,Buff-bellied Hummingbird,22687606,Amazilia yucatanensis,Buff-bellied Hummingbird,LC,increasing
bBBFLx,Empidonax fulvifrons,Buff-breasted Flycatcher,22699880,Empidonax fulvifrons,Buff-breasted Flycatcher,LC,decreasing
bBBIHx,Cynanthus latirostris,Broad-billed Hummingbird,22725767,Cynanthus latirostris,Broad-billed Hummingbird,LC,increasing
bBBMAx,Pica hudsonia,Black-billed Magpie,103727176,Pica hudsonia,Black-billed Magpie,LC,stable
bBBPLx,Pluvialis squatarola,Black-bellied Plover,22693749,Pluvialis squatarola,Grey Plover,LC,decreasing
bBBWAx,Dendroica castanea,Bay-breasted Warbler,22721734,Setophaga castanea,Bay-breasted Warbler,LC,decreasing
bBBWDx,Dendrocygna autumnalis,Black-bellied Whistling-Duck,22679780,Dendrocygna autumnalis,Black-bellied Whistling-duck,LC,increasing
bBBWOx,Picoides arcticus,Black-backed Woodpecker,22681181,Picoides arcticus,Black-backed Woodpecker,LC,stable
bBCCHx,Poecile atricapillus,Black-capped Chickadee,22711716,Poecile atricapillus,Black-capped Chickadee,LC,increasing
bBCFLx,Myiarchus tyrannulus,Brown-crested Flycatcher,22700436,Myiarchus tyrannulus,Brown-crested Flycatcher,LC,increasing
bBCHUx,Archilochus alexandri,Black-chinned Hummingbird,22688196,Archilochus alexandri,Black-chinned Hummingbird,LC,increasing
bBCNHx,Nycticorax nycticorax,Black-crowned Night-heron,22697211,Nycticorax nycticorax,Black-crowned Night-heron,LC,decreasing
bBCNIx,Caprimulgus ridgwayi,Buff-collared Nightjar,22689801,Antrostomus ridgwayi,Buff-collared Nightjar,LC,decreasing
bBCRFx,Leucosticte australis,Brown-capped Rosy-finch,22728985,Leucosticte australis,Brown-capped Rosy-finch,EN,decreasing
bBCSPx,Spizella atrogularis,Black-chinned Sparrow,22721185,Spizella atrogularis,Black-chinned Sparrow,LC,decreasing
bBCTIx,Baeolophus atricristatus,Black-crested Titmouse,22711989,Baeolophus atricristatus,Black-crested Titmouse,LC,stable
bBCVIx,Vireo atricapilla,Black-capped Vireo,22705159,Vireo atricapilla,Black-capped Vireo,VU,decreasing
bBEKIx,Megaceryle alcyon,Belted Kingfisher,22683623,Megaceryle alcyon,Belted Kingfisher,LC,stable
bBETHx,Toxostoma bendirei,Bendire's Thrasher,22711108,Toxostoma bendirei,Bendire's Thrasher,VU,decreasing
bBEVIx,Vireo bellii,Bell's Vireo,22705156,Vireo bellii,Bell's Vireo,LC,increasing
bBEWRx,Thryomanes bewickii,Bewick's Wren,22711377,Thryomanes bewickii,Bewick's Wren,LC,stable
bBGGNx,Polioptila caerulea,Blue-gray Gnatcatcher,22711581,Polioptila caerulea,Blue-grey Gnatcatcher,LC,increasing
bBHCOx,Molothrus ater,Brown-headed Cowbird,22724354,Molothrus ater,Brown-headed Cowbird,LC,decreasing
bBHGRx,Pheucticus melanocephalus,Black-headed Grosbeak,22723816,Pheucticus melanocephalus,Black-headed Grosbeak,LC,increasing
bBHNUx,Sitta pusilla,Brown-headed Nuthatch,103881613,Sitta pusilla,Brown-headed Nuthatch,LC,decreasing
bBHVIx,Vireo solitarius,Blue-headed Vireo,22705234,Vireo solitarius,Blue-headed Vireo,LC,increasing
bBITHx,Catharus bicknelli,Bicknell's Thrush,22728467,Catharus bicknelli,Bicknell's Thrush,VU,decreasing
bBLBWx,Dendroica fusca,Blackburnian Warbler,22721695,Setophaga fusca,Blackburnian Warbler,LC,increasing
bBLGRx,Passerina caerulea,Blue Grosbeak,22723939,Passerina caerulea,Blue Grosbeak,LC,increasing
bBLGUx,Cepphus grylle,Black Guillemot,22694861,Cepphus grylle,Black Guillemot,LC,unknown
bBLJAx,Cyanocitta cristata,Blue Jay,22705611,Cyanocitta cristata,Blue Jay,LC,stable
bBLOYx,Haematopus bachmani,Black Oystercatcher,62015238,Haematopus ater,Blackish Oystercatcher,LC,unknown
bBLPHx,Sayornis nigricans,Black Phoebe,22699892,Sayornis nigricans,Black Phoebe,LC,increasing
bBLPWx,Dendroica striata,Blackpoll Warbler,22721737,Setophaga striata,Blackpoll Warbler,NT,decreasing
bBLRAx,Laterallus jamaicensis,Black Rail,22692353,Laterallus jamaicensis,Black Rail,NT,decreasing
bBLRFx,Leucosticte atrata,Black Rosy-finch,22720488,Leucosticte atrata,Black Rosy-finch,EN,decreasing
bBLSCx,Melanitta nigra,Black Scoter,22732425,Melanitta americana,Black Scoter,NT,decreasing
bBLSKx,Rynchops niger,Black Skimmer,22694256,Rynchops niger,Black Skimmer,LC,decreasing
