strUC,strSciName,strComName,iucnID,iucnSci,iucnCom,iucnCat,iucnTnd
bFLSJx,Aphelocoma coerulescens,Florida Scrub-jay,22705629,Aphelocoma coerulescens,Florida Scrub-jay,VU,decreasing
bFOSPx,Passerella iliaca,Fox Sparrow,103779110,Passerella iliaca,Red Fox-sparrow,LC,stable
bFOTEx,Sterna forsteri,Forster's Tern,22694646,Sterna forsteri,Forster's Tern,LC,increasing
bFRGUx,Leucophaeus pipixcan,Franklin's Gull,22694462,Larus pipixcan,Franklin's Gull,LC,increasing
bFSSPx,Aimophila quinquestriata,Five-striped Sparrow,22721200,Amphispiza quinquestriata,Five-striped Sparrow,LC,stable
bFTSPx,Oceanodroma furcata,Fork-tailed Storm-petrel,22698572,Hydrobates furcatus,Fork-tailed Storm-petrel,LC,increasing
bFUWDx,Dendrocygna bicolor,Fulvous Whistling-duck,22679746,Dendrocygna bicolor,Fulvous Whistling-duck,LC,decreasing
bGADWx,Anas strepera,Gadwall,22680149,Mareca strepera,Gadwall,LC,increasing
bGAQUx,Callipepla gambelii,Gambel's Quail,22679609,Callipepla gambelii,Gambel's Quail,LC,stable
bGBANx,Crotophaga sulcirostris,Groove-billed Ani,22684438,Crotophaga sulcirostris,Groove-billed Ani,LC,decreasing
bGBBGx,Larus marinus,Great Black-backed Gull,22694324,Larus marinus,Great Black-backed Gull,LC,unknown
bGBHEx,Ardea herodias,Great Blue Heron,22696998,Ardea herodias,Great Blue Heron,LC,increasing
bGBTEx,Gelochelidon nilotica,Gull-billed Tern,62026481,Gelochelidon nilotica,Common Gull-billed Tern,LC,decreasing
bGCFLx,Myiarchus crinitus,Great Crested Flycatcher,22700433,Myiarchus crinitus,Great Crested Flycatcher,LC,stable
bGCKIx,Regulus satrapa,Golden-crowned Kinglet,22712594,Regulus satrapa,Golden-crowned Kinglet,LC,increasing
bGCRFx,Leucosticte tephrocotis,Gray-crowned Rosy-finch,22720482,Leucosticte tephrocotis,Grey-crowned Rosy-Finch,LC,stable
bGCSPx,Zonotrichia atricapilla,Golden-crowned Sparrow,22721091,Zonotrichia atricapilla,Golden-crowned Sparrow,LC,increasing
bGCWAx,Dendroica chrysoparia,Golden-cheeked Warbler,22721692,Setophaga chrysoparia,Golden-cheeked Warbler,EN,decreasing
bGFWOx,Melanerpes aurifrons,Golden-fronted Woodpecker,22680862,Melanerpes aurifrons,Golden-fronted Woodpecker,LC,stable
bGGOWx,Strix nebulosa,Great Gray Owl,22689118,Strix nebulosa,Great Grey Owl,LC,increasing
bGHOWx,Bubo virginianus,Great Horned Owl,61752071,Bubo virginianus,Great Horned Owl,LC,stable
bGIFLx,Colaptes chrysoides,Gilded Flicker,22681290,Colaptes chrysoides,Gilded Flicker,LC,decreasing
bGIWOx,Melanerpes uropygialis,Gila Woodpecker,22680853,Melanerpes uropygialis,Gila Woodpecker,LC,stable
bGKINx,Chloroceryle americana,Green Kingfisher,22683652,Chloroceryle americana,Green Kingfisher,LC,increasing
bGKISx,Pitangus sulphuratus,Great Kiskadee,22700605,Pitangus sulphuratus,Great Kiskadee,LC,increasing
bGLGUx,Larus hyperboreus,Glaucous Gull,22694343,Larus hyperboreus,Glaucous Gull,LC,stable
bGLIBx,Plegadis falcinellus,Glossy Ibis,22697422,Plegadis falcinellus,Glossy Ibis,LC,decreasing
bGOEAx,Aquila chrysaetos,Golden Eagle,22696060,Aquila chrysaetos,Golden Eagle,LC,stable
bGRAJx,Perisoreus canadensis,Gray Jay,22705783,Perisoreus canadensis,Grey Jay,LC,decreasing
bGRAKx,Tyrannus dominicensis,Gray Kingbird,22700509,Tyrannus dominicensis,Grey Kingbird,LC,stable
bGRAPx,Perdix perdix,Gray Partridge,22678911,Perdix perdix,Grey Partridge,LC,decreasing
bGRCAx,Dumetella carolinensis,Gray Catbird,22711013,Dumetella carolinensis,Grey Catbird,LC,stable
bGRCOx,Phalacrocorax carbo,Great Cormorant,22696792,Phalacrocorax carbo,Great Cormorant,LC,increasing
bGREGx,Ardea alba,Great Egret,22697043,Ardea alba,Great White Egret,LC,unknown
bGREJx,Cyanocorax yncas,Green Jay,22705738,Cyanocorax yncas,Green Jay,LC,increasing
bGRFLx,Empidonax wrightii,Gray Flycatcher,22699860,Empidonax wrightii,American Grey Flycatcher,LC,increasing
bGRHEx,Butorides virescens,Green Heron,22728182,Butorides striata,Green-backed Heron,LC,decreasing
bGRPCx,Tympanuchus cupido,Greater Prairie-chicken,22679514,Tympanuchus cupido,Greater Prairie-chicken,VU,decreasing
bGRPEx,Contopus pertinax,Greater Pewee,22699798,Contopus pertinax,Greater Pewee,LC,decreasing
bGRROx,Geococcyx californianus,Greater Roadrunner,22684458,Geococcyx californianus,Greater Roadrunner,LC,stable
bGRSCx,Aythya marila,Greater Scaup,22680398,Aythya marila,Greater Scaup,LC,decreasing
bGRSGx,Centrocercus urophasianus,Greater Sage-grouse,22679503,Centrocercus urophasianus,Sage Grouse,NT,decreasing
bGRSPx,Ammodramus savannarum,Grasshopper Sparrow,22721144,Ammodramus savannarum,Grasshopper Sparrow,LC,decreasing
bGRVIx,Vireo vicinior,Gray Vireo,22705209,Vireo vicinior,Grey Vireo,LC,increasing
bGRWAx,Dendroica graciae,Grace's Warbler,22721708,Setophaga graciae,Grace's Warbler,LC,decreasing
bGRYEx,Tringa melanoleuca,Greater Yellowlegs,22693231,Tringa melanoleuca,Greater Yellowlegs,LC,stable
bGTGRx,Quiscalus mexicanus,Great-tailed Grackle,22724308,Quiscalus mexicanus,Great-tailed Grackle,LC,stable
bGTTOx,Pipilo chlorurus,Green-tailed Towhee,22721304,Pipilo chlorurus,Green-tailed Towhee,LC,stable
bGUSGx,Centrocercus minimus,Gunnison Sage-grouse,22728472,Centrocercus minimus,Gunnison Grouse ,EN,decreasing
bGWFGx,Anser albifrons,Greater White-fronted Goose,22679881,Anser albifrons,Greater White-fronted Goose,LC,unknown
bGWGUx,Larus glaucescens,Glaucous-winged Gull,22694334,Larus glaucescens,Glaucous-winged Gull,LC,increasing
bGWTEx,Anas crecca,Green-winged Teal,22729717,Anas crecca,Common Teal,LC,unknown
bGWWAx,Vermivora chrysoptera,Golden-winged Warbler,22721618,Vermivora chrysoptera,Golden-winged Warbler,NT,decreasing
bGYRFx,Falco rusticolus,Gyrfalcon,22696500,Falco rusticolus,Gyrfalcon,LC,stable
bHADUx,Histrionicus histrionicus,Harlequin Duck,22680423,Histrionicus histrionicus,Harlequin Duck,LC,increasing
bHAFLx,Empidonax hammondii,Hammond's Flycatcher,22699857,Empidonax hammondii,Hammond's Flycatcher,LC,increasing
bHASHx,Parabuteo unicinctus,Harris's Hawk,22695838,Parabuteo unicinctus,Harris's Hawk,LC,decreasing
bHASPx,Zonotrichia querula,Harris's Sparrow,22721082,Zonotrichia querula,Harris's Sparrow,NT,decreasing
bHAWOx,Picoides villosus,Hairy Woodpecker,22681166,Leuconotopicus villosus,Hairy Woodpecker,LC,increasing
bHBKIx,Chondrohierax uncinatus,Hook-billed Kite,22694971,Chondrohierax uncinatus,Hook-billed Kite,LC,decreasing
bHEEGx,Larus heermanni,Heermann's Gull,22694296,Larus heermanni,Heermann's Gull,NT,unknown
bHESPx,Ammodramus henslowii,Henslow's Sparrow,22721138,Passerculus henslowii,Henslow's Sparrow,LC,increasing
bHETAx,Piranga flava,Hepatic Tanager,103811627,Piranga hepatica,Hepatic Tanager,LC,increasing
bHETHx,Catharus guttatus,Hermit Thrush,22708667,Catharus guttatus,Hermit Thrush,LC,increasing
bHEWAx,Dendroica occidentalis,Hermit Warbler,22721686,Setophaga occidentalis,Hermit Warbler,LC,stable
bHOFIx,Carpodacus mexicanus,House Finch,22720563,Haemorhous mexicanus,House Finch,LC,increasing
bHOGRx,Podiceps auritus,Horned Grebe,22696606,Podiceps auritus,Horned Grebe,VU,decreasing
bHOLAx,Eremophila alpestris,Horned Lark,22717434,Eremophila alpestris,Horned Lark,LC,decreasing
bHOMEx,Lophodytes cucullatus,Hooded Merganser,22680472,Lophodytes cucullatus,Hooded Merganser,LC,increasing
bHOORx,Icterus cucullatus,Hooded Oriole,22724131,Icterus cucullatus,Hooded Oriole,LC,increasing
bHOSPx,Passer domesticus,House Sparrow,103818789,Passer domesticus,House Sparrow,LC,decreasing
bHOWAx,Wilsonia citrina,Hooded Warbler,22721876,Setophaga citrina,Hooded Warbler,LC,increasing
bHOWRx,Troglodytes aedon,House Wren,103886826,Troglodytes aedon,House Wren,LC,increasing
bHUVIx,Vireo huttoni,Hutton's Vireo,22705182,Vireo huttoni,Hutton's Vireo,LC,stable
bICGUx,Larus glaucoides,Iceland Gull,22729877,Larus glaucoides,Iceland Gull,LC,stable
bINBUx,Passerina cyanea,Indigo Bunting,22723951,Passerina cyanea,Indigo Bunting,LC,decreasing
bINDOx,Columbina inca,Inca Dove,22690762,Columbina inca,Inca Dove,LC,increasing
bISSJx,Aphelocoma insularis,Island Scrub-jay,103727785,Aphelocoma californica,Western Scrub-jay,LC,stable
bKEWAx,Oporornis formosus,Kentucky Warbler,22721812,Geothlypis formosa,Kentucky Warbler,LC,decreasing
bKIEIx,Somateria spectabilis,King Eider,22680409,Somateria spectabilis,King Eider,LC,decreasing
bKILLx,Charadrius vociferus,Killdeer,22693777,Charadrius vociferus,Killdeer,LC,decreasing
bKIRAx,Rallus elegans,King Rail,62155060,Rallus elegans,King Rail,NT,decreasing
bKIWAx,Dendroica kirtlandii,Kirtland's Warbler,22721722,Setophaga kirtlandii,Kirtland's Warbler,NT,increasing
bLAGOx,Carduelis lawrencei,Lawrence's Goldfinch,22720413,Spinus lawrencei,Lawrence's Goldfinch,LC,decreasing
bLAGUx,Leucophaeus atricilla,Laughing Gull,22694455,Larus atricilla,Laughing Gull,LC,increasing
bLALOx,Calcarius lapponicus,Lapland Longspur,22721033,Calcarius lapponicus,Lapland Longspur,LC,increasing
bLARBx,Calamospiza melanocorys,Lark Bunting,22721049,Calamospiza melanocorys,Lark Bunting,LC,decreasing
bLASPx,Chondestes grammacus,Lark Sparrow,22721191,Chondestes grammacus,Lark Sparrow,LC,decreasing
bLAZBx,Passerina amoena,Lazuli Bunting,22723948,Passerina amoena,Lazuli Bunting,LC,increasing
bLBBGx,Larus fuscus,Lesser Black-backed Gull,22694373,Larus fuscus,Lesser Black-backed Gull,LC,increasing
bLBCUx,Numenius americanus,Long-billed Curlew,22693195,Numenius americanus,Long-billed Curlew,LC,decreasing
bLBDOx,Limnodromus scolopaceus,Long-billed Dowitcher,22693348,Limnodromus scolopaceus,Long-billed Dowitcher,LC,unknown
bLBHEx,Egretta caerulea,Little Blue Heron,22696944,Egretta caerulea,Little Blue Heron,LC,decreasing
bLBTHx,Toxostoma longirostre,Long-billed Thrasher,22711102,Toxostoma longirostre,Long-billed Thrasher,LC,increasing
bLBWOx,Picoides scalaris,Ladder-backed Woodpecker,22681152,Dryobates scalaris,Ladder-backed Woodpecker,LC,stable
bLCSPx,Ammodramus leconteii,Le Conte's Sparrow,22721135,Ammospiza leconteii,Le Conte's Sparrow,LC,decreasing
bLCTHx,Toxostoma lecontei,Le Conte's Thrasher,22711121,Toxostoma lecontei,Le Conte's Thrasher,LC,stable
bLEBIx,Ixobrychus exilis,Least Bittern,22697314,Ixobrychus exilis,Least Bittern,LC,stable
bLEFLx,Empidonax minimus,Least Flycatcher,22699854,Empidonax minimus,Least Flycatcher,LC,decreasing
bLEGOx,Carduelis psaltria,Lesser Goldfinch,22720410,Spinus psaltria,Lesser Goldfinch,LC,decreasing
bLEGRx,Tachybaptus dominicus,Least Grebe,22696571,Tachybaptus dominicus,Least Grebe,LC,stable
bLENIx,Chordeiles acutipennis,Lesser Nighthawk,22689711,Chordeiles acutipennis,Lesser Nighthawk,LC,increasing
bLEOWx,Asio otus,Long-eared Owl,22689507,Asio otus,Northern Long-eared Owl,LC,decreasing
bLEPCx,Tympanuchus pallidicinctus,Lesser Prairie-chicken,22679519,Tympanuchus pallidicinctus,Lesser Prairie-chicken,VU,decreasing
bLESAx,Calidris minutilla,Least Sandpiper,22693396,Calidris minutilla,Least Sandpiper,LC,decreasing
bLESCx,Aythya affinis,Lesser Scaup,22680402,Aythya affinis,Lesser Scaup,LC,decreasing
bLESPx,Oceanodroma leucorhoa,Leach's Storm-petrel,132438298,Hydrobates leucorhous,Leach's Storm-petrel,VU,decreasing
bLETEx,Sternula antillarum,Least Tern,22694673,Sternula antillarum,Least Tern,LC,decreasing
bLEWOx,Melanerpes lewis,Lewis's Woodpecker,22680801,Melanerpes lewis,Lewis's Woodpecker,LC,decreasing
bLEYEx,Tringa flavipes,Lesser Yellowlegs,22693235,Tringa flavipes,Lesser Yellowlegs,LC,decreasing
bLIGUx,Hydrocoloeus minutus,Little Gull,22694469,Hydrocoloeus minutus,Little Gull,LC,increasing
bLIMPx,Aramus guarauna,Limpkin,22692174,Aramus guarauna,Limpkin,LC,stable
bLISPx,Melospiza lincolnii,Lincoln's Sparrow,22721064,Melospiza lincolnii,Lincoln's Sparrow,LC,stable
bLOSHx,Lanius ludovicianus,Loggerhead Shrike,22705042,Lanius ludovicianus,Loggerhead Shrike,NT,decreasing
bLOWAx,Seiurus motacilla,Louisiana Waterthrush,22721803,Parkesia motacilla,Louisiana Waterthrush,LC,increasing
bLTDUx,Clangula hyemalis,Long-tailed Duck,22680427,Clangula hyemalis,Long-tailed Duck,VU,decreasing
bLUHUx,Calothorax lucifer,Lucifer Hummingbird,22688185,Calothorax lucifer,Lucifer Hummingbird,LC,stable
bLUWAx,Vermivora luciae,Lucy's Warbler,22721636,Leiothlypis luciae,Lucy's Warbler,LC,stable
bMABOx,Sula dactylatra,Masked Booby,22736173,Sula dactylatra,Masked Booby,LC,decreasing
bMACUx,Coccyzus minor,Mangrove Cuckoo,22684337,Coccyzus minor,Mangrove Cuckoo,LC,stable
bMADUx,Nomonyx dominicus,Masked Duck,22679789,Nomonyx dominicus,Masked Duck,LC,decreasing
bMAFRx,Fregata magnificens,Magnificent Frigatebird,22697724,Fregata magnificens,Magnificent Frigatebird,LC,increasing
bMAGOx,Limosa fedoa,Marbled Godwit,22693162,Limosa fedoa,Marbled Godwit,LC,decreasing
bMAHUx,Eugenes fulgens,Magnificent Hummingbird,22687746,Eugenes fulgens,Magnificent Hummingbird,LC,increasing
bMALLx,Anas platyrhynchos,Mallard,22680186,Anas platyrhynchos,Mallard,LC,increasing
bMAMUx,Brachyramphus marmoratus,Marbled Murrelet,22694870,Brachyramphus marmoratus,Marbled Murrelet,EN,decreasing
bMASHx,Puffinus puffinus,Manx Shearwater,22698226,Puffinus puffinus,Manx Shearwater,LC,unknown
bMAWAx,Dendroica magnolia,Magnolia Warbler,22721667,Setophaga magnolia,Magnolia Warbler,LC,increasing
bMAWRx,Cistothorus palustris,Marsh Wren,22711374,Cistothorus palustris,Marsh Wren,LC,increasing
bMCLOx,Calcarius mccownii,Mccown's Longspur,22721025,Rhynchophanes mccownii,McCown's Longspur,LC,decreasing
bMECHx,Poecile sclateri,Mexican Chickadee,22711732,Poecile sclateri,Mexican Chickadee,LC,decreasing
bMEGUx,Larus canus,Mew Gull,22694308,Larus canus,Mew Gull,LC,unknown
bMEJAx,Aphelocoma ultramarina,Mexican Jay,22724967,Aphelocoma wollweberi,Mexican Jay,LC,decreasing
bMERLx,Falco columbarius,Merlin,22696453,Falco columbarius,Merlin,LC,stable
bMGWAx,Oporornis tolmiei,Macgillivray's Warbler,22721830,Geothlypis tolmiei,MacGillivray's Warbler,LC,decreasing
bMIKIx,Ictinia mississippiensis,Mississippi Kite,22695066,Ictinia mississippiensis,Mississippi Kite,LC,increasing
bMOBLx,Sialia currucoides,Mountain Bluebird,22708556,Sialia currucoides,Mountain Bluebird,LC,increasing
bMOCHx,Poecile gambeli,Mountain Chickadee,22711724,Poecile gambeli,Mountain Chickadee,LC,stable
bMODOx,Zenaida macroura,Mourning Dove,22690736,Zenaida macroura,Mourning Dove,LC,increasing
bMODUx,Anas fulvigula,Mottled Duck,22680178,Anas fulvigula,Mottled Duck,LC,decreasing
bMONQx,Cyrtonyx montezumae,Montezuma Quail,22728212,Cyrtonyx montezumae,Montezuma Quail,LC,stable
bMOPAx,Myiopsitta monachus,Monk Parakeet,45427277,Myiopsitta monachus,Monk Parakeet,LC,increasing
bMOPLx,Charadrius montanus,Mountain Plover,22693876,Charadrius montanus,Mountain Plover,NT,decreasing
bMOUQx,Oreortyx pictus,Mountain Quail,22679591,Oreortyx pictus,Mountain Quail,LC,stable
bMOWAx,Oporornis philadelphia,Mourning Warbler,22721824,Geothlypis philadelphia,Mourning Warbler,LC,decreasing
bMUDUx,Cairina moschata,Muscovy Duck,22680061,Cairina moschata,Muscovy Duck,LC,decreasing
bMUSWx,Cygnus olor,Mute Swan,22679839,Cygnus olor,Mute Swan,LC,increasing
bNAWAx,Vermivora ruficapilla,Nashville Warbler,22721627,Leiothlypis ruficapilla,Nashville Warbler,LC,increasing
bNECOx,Phalacrocorax brasilianus,Neotropic Cormorant,22696773,Nannopterum brasilianus,Neotropical Cormorant,LC,increasing
bNOBOx,Colinus virginianus,Northern Bobwhite,22728956,Colinus virginianus,Northern Bobwhite,NT,decreasing
bNOBTx,Camptostoma imberbe,Northern Beardless-tyrannulet,22699177,Camptostoma imberbe,Northern Beardless Tyrannulet,LC,increasing
bNOCAx,Cardinalis cardinalis,Northern Cardinal,22723819,Cardinalis cardinalis,Northern Cardinal,LC,stable
bNOCRx,Corvus caurinus,Northwestern Crow,22705986,Corvus caurinus,Northwestern Crow,LC,increasing
bNOFLx,Colaptes auratus,Northern Flicker,22726404,Colaptes auratus,Yellow-shafted Flicker,LC,decreasing
bNOGOx,Accipiter gentilis,Northern Goshawk,22695683,Accipiter gentilis,Northern Goshawk,LC,unknown
bNOHAx,Circus cyaneus,Northern Harrier,22727740,Circus hudsonius,Northern Harrier,LC,decreasing
bNOMOx,Mimus polyglottos,Northern Mockingbird,22711026,Mimus polyglottos,Northern Mockingbird,LC,stable
bNOPAx,Parula americana,Northern Parula,22721639,Setophaga americana,Northern Parula,LC,increasing
bNOPIx,Anas acuta,Northern Pintail,22680301,Anas acuta,Northern Pintail,LC,decreasing
bNOPOx,Glaucidium gnoma,Northern Pygmy-owl,61791401,Glaucidium californicum,Northern Pygmy-owl,LC,increasing
bNOWAx,Seiurus noveboracensis,Northern Waterthrush,22721793,Parkesia noveboracensis,Northern Waterthrush,LC,stable
bNRWSx,Stelgidopteryx serripennis,Northern Rough-winged Swallow,22712152,Stelgidopteryx serripennis,Northern Rough-winged Swallow,LC,decreasing
bNSHOx,Anas clypeata,Northern Shoveler,22680247,Spatula clypeata,Northern Shoveler,LC,decreasing
bNSTSx,Ammodramus nelsoni,Nelson's Sharp-tailed Sparrow,22728393,Ammospiza nelsoni,Nelson's Sparrow,LC,stable
bNSWOx,Aegolius acadicus,Northern Saw-whet Owl,22689366,Aegolius acadicus,Northern Saw-whet Owl,LC,decreasing
bNUWOx,Picoides nuttallii,Nuttall's Woodpecker,22681149,Dryobates nuttallii,Nuttall's Woodpecker,LC,increasing
bOATIx,Baeolophus inornatus,Oak Titmouse,22711978,Baeolophus inornatus,Oak Titmouse,LC,stable
bOCWAx,Vermivora celata,Orange-crowned Warbler,22721624,Leiothlypis celata,Orange-crowned Warbler,LC,increasing
bOLSPx,Arremonops rufivirgatus,Olive Sparrow,22721392,Arremonops rufivirgatus,Olive Sparrow,LC,increasing
bOLWAx,Peucedramus taeniatus,Olive Warbler,22720027,Peucedramus taeniatus,Olive Warbler,LC,decreasing
bORORx,Icterus spurius,Orchard Oriole,103793298,Icterus spurius,Orchard Oriole,LC,stable
bOSFLx,Contopus cooperi,Olive-sided Flycatcher,22699787,Contopus cooperi,Olive-sided Flycatcher,NT,decreasing
bOSPRx,Pandion haliaetus,Osprey,22694938,Pandion haliaetus,Osprey,LC,increasing
bOVENx,Seiurus aurocapilla,Ovenbird,22721779,Seiurus aurocapilla,Ovenbird,LC,stable
bPABUx,Passerina ciris,Painted Bunting,22723957,Passerina ciris,Painted Bunting,LC,stable
bPAGPx,Pluvialis fulva,Pacific Golden-plover,22693735,Pluvialis fulva,Pacific Golden Plover,LC,decreasing
bPAJAx,Stercorarius parasiticus,Parasitic Jaeger,22694245,Stercorarius parasiticus,Arctic Jaeger,LC,stable
bPALOx,Gavia pacifica,Pacific Loon,22697839,Gavia pacifica,Pacific Loon,LC,increasing
bPAREx,Myioborus pictus,Painted Redstart,22721894,Myioborus pictus,Painted Whitestart,LC,increasing
bPAWAx,Dendroica palmarum,Palm Warbler,22721731,Setophaga palmarum,Palm Warbler,LC,increasing
bPBGRx,Podilymbus podiceps,Pied-billed Grebe,22696574,Podilymbus podiceps,Pied-billed Grebe,LC,stable
bPECOx,Phalacrocorax pelagicus,Pelagic Cormorant,22728950,Urile pelagicus,Pelagic Cormorant,LC,decreasing
bPEFAx,Falco peregrinus,Peregrine Falcon,45354964,Falco peregrinus,Peregrine Falcon,LC,stable
bPHAIx,Phainopepla nitens,Phainopepla,22708139,Phainopepla nitens,Phainopepla,LC,stable
bPHVIx,Vireo philadelphicus,Philadelphia Vireo,22705240,Vireo philadelphicus,Philadelphia Vireo,LC,increasing
bPIGRx,Pinicola enucleator,Pine Grosbeak,22720625,Pinicola enucleator,Pine Grosbeak,LC,decreasing
bPIGUx,Cepphus columba,Pigeon Guillemot,22694864,Cepphus columba,Pigeon Guillemot,LC,stable
bPIJAx,Gymnorhinus cyanocephalus,Pinyon Jay,22705608,Gymnorhinus cyanocephalus,Pinyon Jay,VU,decreasing
bPIPLx,Charadrius melodus,Piping Plover,22693811,Charadrius melodus,Piping Plover,NT,increasing
bPISIx,Carduelis pinus,Pine Siskin,22720359,Spinus pinus,Pine Siskin,LC,stable
bPIWAx,Dendroica pinus,Pine Warbler,22721719,Setophaga pinus,Pine Warbler,LC,increasing
bPIWOx,Dryocopus pileatus,Pileated Woodpecker,22681363,Hylatomus pileatus,Pileated Woodpecker,LC,increasing
bPLCHx,Ortalis vetula,Plain Chachalaca,22678305,Ortalis vetula,Plain Chachalaca,LC,stable
bPLVIx,Vireo plumbeus,Plumbeous Vireo,22705231,Vireo plumbeus,Plumbeous Vireo,LC,increasing
bPRAWx,Dendroica discolor,Prairie Warbler,22721725,Setophaga discolor,Prairie Warbler,LC,decreasing
bPRFAx,Falco mexicanus,Prairie Falcon,22696504,Falco mexicanus,Prairie Falcon,LC,increasing
bPROWx,Protonotaria citrea,Prothonotary Warbler,22721765,Protonotaria citrea,Prothonotary Warbler,LC,decreasing
bPSFLx,Empidonax difficilis,Pacific-slope Flycatcher,22699871,Empidonax difficilis,Pacific-slope Flycatcher,LC,decreasing
bPUFIx,Carpodacus purpureus,Purple Finch,22720553,Haemorhous purpureus,Purple Finch,LC,decreasing
bPUGAx,Porphyrio martinica,Purple Gallinule,22692827,Porphyrio martinicus,Purple Gallinule,LC,decreasing
bPUMAx,Progne subis,Purple Martin,22712098,Progne subis,Purple Martin,LC,stable
bPUSAx,Calidris maritima,Purple Sandpiper,22693420,Calidris maritima,Purple Sandpiper,LC,decreasing
bPYNUx,Sitta pygmaea,Pygmy Nuthatch,22711170,Sitta pygmaea,Pygmy Nuthatch,LC,increasing
bPYRRx,Cardinalis sinuatus,Pyrrhuloxia,22723825,Cardinalis sinuatus,Pyrrhuloxia,LC,decreasing
bRAZOx,Alca torda,Razorbill,22694852,Alca torda,Razorbill,NT,decreasing
bRBGRx,Pheucticus ludovicianus,Rose-breasted Grosbeak,22723813,Pheucticus ludovicianus,Rose-breasted Grosbeak,LC,decreasing
bRBGUx,Larus delawarensis,Ring-billed Gull,22694317,Larus delawarensis,Ring-billed Gull,LC,increasing
bRBMEx,Mergus serrator,Red-breasted Merganser,22680485,Mergus serrator,Red-breasted Merganser,LC,stable
bRBNUx,Sitta canadensis,Red-breasted Nuthatch,22711196,Sitta canadensis,Red-breasted Nuthatch,LC,increasing
bRBPIx,Patagioenas flavirostris,Red-billed Pigeon,22690296,Patagioenas flavirostris,Red-billed Pigeon,LC,decreasing
bRBSAx,Sphyrapicus ruber,Red-breasted Sapsucker,22680874,Sphyrapicus ruber,Red-breasted Sapsucker,LC,decreasing
bRBWOx,Melanerpes carolinus,Red-bellied Woodpecker,22680856,Melanerpes carolinus,Red-bellied Woodpecker,LC,increasing
bRCKIx,Regulus calendula,Ruby-crowned Kinglet,22712567,Regulus calendula,Ruby-crowned Kinglet,LC,increasing
bRCPAx,Amazona viridigenalis,Red-crowned Parrot,22686259,Amazona viridigenalis,Red-crowned Amazon,EN,decreasing
bRCSPx,Aimophila ruficeps,Rufous-crowned Sparrow,22721288,Aimophila ruficeps,Rufous-crowned Sparrow,LC,decreasing
bRCWOx,Picoides borealis,Red-cockaded Woodpecker,22681158,Leuconotopicus borealis,Red-cockaded Woodpecker,NT,decreasing
bRECRx,Loxia curvirostra,Red Crossbill,22720646,Loxia curvirostra,Red Crossbill,LC,stable
bREDHx,Aythya americana,Redhead,22680367,Aythya americana,Redhead,LC,increasing
bREEGx,Egretta rufescens,Reddish Egret,22696916,Egretta rufescens,Reddish Egret,NT,increasing
bREKNx,Calidris canutus,Red Knot,22693363,Calidris canutus,Red Knot,NT,decreasing
bREPHx,Phalaropus fulicarius,Red Phalarope,22693494,Phalaropus fulicarius,Red Phalarope,LC,unknown
bREVIx,Vireo olivaceus,Red-eyed Vireo,22705243,Vireo olivaceus,Red-eyed Vireo,LC,increasing
bRFWAx,Cardellina rubrifrons,Red-faced Warbler,22721885,Cardellina rubrifrons,Red-faced Warbler,LC,decreasing
bRHAUx,Cerorhinca monocerata,Rhinoceros Auklet,22694924,Cerorhinca monocerata,Rhinoceros Auklet,LC,decreasing
bRHWOx,Melanerpes erythrocephalus,Red-headed Woodpecker,22680810,Melanerpes erythrocephalus,Red-headed Woodpecker,LC,decreasing
bRLHAx,Buteo lagopus,Rough-legged Hawk,22695973,Buteo lagopus,Rough-legged Buzzard,LC,stable
bRNDUx,Aythya collaris,Ring-necked Duck,22680370,Aythya collaris,Ring-necked Duck,LC,increasing
bRNEPx,Phasianus colchicus,Ring-necked Pheasant,45100023,Phasianus colchicus,Common Pheasant,LC,decreasing
bRNGRx,Podiceps grisegena,Red-necked Grebe,22696599,Podiceps grisegena,Red-necked Grebe,LC,decreasing
bRNSAx,Sphyrapicus nuchalis,Red-naped Sapsucker,22680871,Sphyrapicus nuchalis,Red-naped Sapsucker,LC,decreasing
bROGOx,Chen rossii,Ross's Goose,22679909,Anser rossii,Ross's Goose,LC,increasing
bROPIx,Columba livia,Rock Pigeon,22690066,Columba livia,Rock Dove,LC,decreasing
bROSAx,Calidris ptilocnemis,Rock Sandpiper,22693424,Calidris ptilocnemis,Rock Sandpiper,LC,decreasing
bROSPx,Platalea ajaja,Roseate Spoonbill,22697574,Platalea ajaja,Roseate Spoonbill,LC,stable
bROSTx,Sterna dougallii,Roseate Tern,22694601,Sterna dougallii,Roseate Tern,LC,unknown
bROWRx,Salpinctes obsoletus,Rock Wren,22711332,Salpinctes obsoletus,Rock Wren,LC,decreasing
bROYTx,Thalasseus maximus,Royal Tern,22694542,Thalasseus maximus,Royal Tern,LC,stable
bRSHAx,Buteo lineatus,Red-shouldered Hawk,22695883,Buteo lineatus,Red-shouldered Hawk,LC,increasing
bRTBEx,Pachyramphus aglaiae,Rose-throated Becard,22700670,Pachyramphus aglaiae,Rose-throated Becard,LC,stable
bRTHAx,Buteo jamaicensis,Red-tailed Hawk,22695933,Buteo jamaicensis,Red-tailed Hawk,LC,increasing
bRTHUx,Archilochus colubris,Ruby-throated Hummingbird,22688193,Archilochus colubris,Ruby-throated Hummingbird,LC,increasing
bRTLOx,Gavia stellata,Red-throated Loon,22697829,Gavia stellata,Red-throated Loon,LC,decreasing
