Taxa,Spp,totalSppPix,Rank
B,bCAEGx,2280241047,548.0
B,bCAFIx,1211759305,480.0
B,bCAGNx,1855352,30.0
B,bCAGUx,369686095,342.0
B,bCAHUx,325064553,330.0
B,bCAKIx,239494177,305.0
B,bCALTx,136999125,243.0
B,bCANGx,3741924967,586.0
B,bCANTx,402811234,356.0
B,bCANVx,502018942,385.0
B,bCANWx,895455437,444.0
B,bCAQUx,360545382,340.0
B,bCARWx,1090489615,473.0
B,bCASPx,919795271,450.0
B,bCASWx,130826958,240.0
B,bCATEx,47758910,156.0
B,bCATHx,61883091,179.0
B,bCAVIx,283863642,315.0
B,bCAWAx,425086505,365.0
B,bCBCHx,264598933,311.0
B,bCBTHx,572248554,399.0
B,bCCLOx,871421108,442.0
B,bCCSPx,569544552,398.0
B,bCEDWx,4202724741,595.0
B,bCERWx,420020349,364.0
B,bCHRAx,274484504,313.0
B,bCHSPx,4820708796,606.0
B,bCHSWx,4492448223,602.0
B,bCHUKx,743848803,422.0
B,bCITEx,50559781,161.0
B,bCLGRx,25983320,115.0
B,bCLNUx,594032487,403.0
B,bCLRAx,34175897,131.0
B,bCLSWx,4407273988,600.0
B,bCMWAx,138403002,244.0
B,bCOBHx,1028178,23.0
B,bCOEIx,32362484,129.0
B,bCOFLx,371576272,344.0
B,bCOGDx,686787533,415.0
B,bCOGOx,167932950,265.0
B,bCOGRx,1693886441,519.0
B,bCOHAx,6104100874,614.0
B,bCOHUx,208606068,290.0
B,bCOKIx,39186895,141.0
B,bCOLOx,311407802,329.0
B,bCOLWx,104864,7.0
B,bCOMEx,102316821,219.0
B,bCOMOx,158636408,258.0
B,bCOMUx,68005608,183.0
B,bCOMYx,17547050,90.0
B,bCONIx,8074349889,619.0
B,bCONWx,95994697,213.0
B,bCOPAx,14857354,80.0
B,bCOPOx,1719484024,521.0
B,bCORAx,3397758271,581.0
B,bCOREx,1047948312,467.0
B,bCOTEx,131202291,241.0
B,bCOYEx,3456254393,583.0
B,bCRCAx,150933677,251.0
B,bCRTHx,228394087,298.0
B,bCSWAx,172586965,269.0
B,bCWWIx,1090157210,472.0
B,bDCCOx,744348506,423.0
B,bDCFLx,18309779,93.0
B,bDEJUx,2922057308,569.0
B,bDICKx,2419229055,553.0
B,bDOVEx,24173426,111.0
B,bDOWOx,3033596648,573.0
B,bDUFLx,1310227968,493.0
B,bDUGRx,557065479,397.0
B,bDUNLx,107133077,224.0
B,bEABLx,2528709026,561.0
B,bEAGRx,188162278,278.0
B,bEAKIx,5119745368,610.0
B,bEAMEx,2021239321,535.0
B,bEAPHx,965511910,457.0
B,bEASOx,2754477843,565.0
B,bEATOx,1522746968,512.0
B,bEAWPx,1671589532,517.0
B,bELOWx,153149606,254.0
B,bELTEx,17992637,91.0
B,bELTRx,6691578,51.0
B,bETSPx,34710894,135.0
B,bEUCDx,4995814459,607.0
B,bEUSTx,4251689281,596.0
B,bEUWIx,27323920,119.0
B,bEVGRx,1251646019,487.0
B,bEWCSx,4617124942,603.0
B,bFEHAx,2521937538,560.0
B,bFEPOx,32012006,128.0
B,bFICRx,777850004,427.0
B,bFISPx,2560153577,562.0
B,bFLOWx,544469899,394.0
B,bFLSJx,7980080,56.0
B,bFOSPx,1225299221,483.0
B,bFOTEx,220797323,296.0
B,bFRGUx,103335517,221.0
B,bFSSPx,8621231,59.0
B,bFTSPx,54268548,171.0
B,bFUWDx,45394835,153.0
B,bGADWx,1019640376,462.0
B,bGAQUx,352702617,338.0
B,bGBANx,88195600,206.0
B,bGBBGx,122883434,235.0
B,bGBHEx,2080547241,539.0
B,bGBTEx,29390682,125.0
B,bGCFLx,1053674887,468.0
B,bGCKIx,2866255158,567.0
B,bGCRFx,291461018,322.0
B,bGCSPx,18831226,95.0
B,bGCWAx,19744301,102.0
B,bGFWOx,168780861,266.0
B,bGGOWx,176270003,272.0
B,bGHOWx,8906072309,621.0
B,bGIFLx,45731520,155.0
B,bGIWOx,49955803,160.0
B,bGKINx,40165093,145.0
B,bGKISx,38333428,139.0
B,bGLGUx,337679028,335.0
B,bGLIBx,57444928,175.0
B,bGOEAx,2324722043,551.0
B,bGRAJx,288679222,319.0
B,bGRAKx,12630740,73.0
B,bGRAPx,1279596374,490.0
B,bGRCAx,1079094759,471.0
B,bGRCOx,12704340,74.0
B,bGREGx,383118575,347.0
B,bGREJx,16909643,86.0
B,bGREPx,995283,22.0
B,bGRFLx,849520721,439.0
B,bGRHAx,25955796,114.0
B,bGRHEx,574947242,400.0
B,bGRPCx,413000796,360.0
B,bGRPEx,22119590,108.0
B,bGRROx,1068547820,469.0
B,bGRSCx,151281105,252.0
B,bGRSGx,492725528,383.0
B,bGRSPx,1401762995,501.0
B,bGRVIx,415348835,361.0
B,bGRWAx,192938300,281.0
B,bGRYEx,448400702,372.0
B,bGTGRx,2020624173,534.0
B,bGTTOx,1555041674,514.0
B,bGUSGx,12990094,76.0
B,bGWFGx,155493200,255.0
B,bGWGUx,67191381,182.0
B,bGWTEx,939962771,455.0
B,bGWWAx,804292624,431.0
B,bGYRFx,900438556,447.0
B,bHADUx,66283937,181.0
B,bHAFLx,430559611,368.0
B,bHASHx,74688503,190.0
B,bHASPx,613977905,409.0
B,bHAWOx,2428440122,554.0
B,bHBKIx,364014,15.0
B,bHEEGx,39295992,142.0
B,bHERGx,1213061896,481.0
B,bHESPx,351105302,337.0
B,bHETAx,174289861,271.0
B,bHETHx,1998012439,531.0
B,bHEWAx,37901038,138.0
B,bHOFIx,3226003031,576.0
B,bHOGRx,92103840,209.0
B,bHOLAx,4368874386,599.0
B,bHOMEx,192445412,280.0
B,bHOORx,74613897,189.0
B,bHOREx,1379226140,499.0
B,bHOSPx,2513425832,558.0
B,bHOWAx,717374428,417.0
B,bHOWRx,1419296481,503.0
B,bHUVIx,205429041,287.0
B,bICGUx,143656790,247.0
B,bINBUx,2319342807,550.0
B,bINDOx,136727233,242.0
B,bISSJx,196577,10.0
B,bJUTIx,429504706,367.0
B,bKEWAx,396032989,352.0
B,bKIEIx,34398706,133.0
B,bKILLx,2970318809,571.0
B,bKIRAx,75004151,191.0
B,bKIWAx,1356600,25.0
B,bLAGOx,37843051,137.0
B,bLAGUx,202055790,286.0
B,bLALOx,3287089534,578.0
B,bLARBx,1918006030,530.0
B,bLASPx,4635197797,604.0
B,bLAZBx,1328922484,496.0
B,bLBBGx,85813790,201.0
B,bLBCUx,1115215100,474.0
B,bLBDOx,71563028,184.0
B,bLBHEx,104100281,223.0
B,bLBTHx,44566975,149.0
B,bLBWOx,498457416,384.0
B,bLCSPx,825070886,436.0
B,bLCTHx,191883525,279.0
B,bLEBIx,101623743,218.0
B,bLEFLx,677961801,414.0
B,bLEGOx,609148939,407.0
B,bLEGRx,3449899,36.0
B,bLENIx,607412236,406.0
B,bLEOWx,5229319387,611.0
B,bLEPCx,119495510,232.0
B,bLESAx,27603277,120.0
B,bLESCx,186868194,276.0
B,bLESPx,632962,19.0
B,bLETEx,207562960,289.0
B,bLEWOx,435409546,369.0
B,bLEYEx,80280775,198.0
B,bLIGUx,101350128,217.0
B,bLIMPx,74421609,188.0
B,bLISPx,931997234,452.0
B,bLOSHx,5014229417,608.0
B,bLOWAx,78659873,196.0
B,bLTDUx,217648484,295.0
B,bLUHUx,34227983,132.0
B,bLUWAx,143680787,248.0
B,bMABOx,5302179,40.0
B,bMACUx,3118194,35.0
B,bMADUx,1565577,29.0
B,bMAFRx,11989186,70.0
B,bMAGOx,116419458,230.0
B,bMAHUx,8680895,61.0
B,bMALLx,1204215778,479.0
B,bMAMUx,79977764,197.0
B,bMASHx,19808336,104.0
B,bMAWAx,235494249,303.0
B,bMAWRx,187154791,277.0
B,bMCLOx,506187832,386.0
B,bMECHx,325113,14.0
B,bMEGUx,45492865,154.0
B,bMEJAx,18028586,92.0
B,bMERLx,2081213959,540.0
B,bMGWAx,166346112,262.0
B,bMIKIx,827872849,437.0
B,bMIPAx,6375669,45.0
B,bMOBLx,1415436422,502.0
B,bMOCHx,750691497,425.0
B,bMODOx,7062401093,617.0
B,bMODUx,60496522,177.0
B,bMONQx,51769357,164.0
B,bMOPAx,1555634,28.0
B,bMOPLx,516341808,390.0
B,bMOUQx,122820182,234.0
B,bMOWAx,156780943,256.0
B,bMUDUx,170275,9.0
B,bMUSWx,112170119,226.0
B,bNAWAx,589858370,402.0
B,bNECOx,53417342,168.0
B,bNOBOx,2506246143,557.0
B,bNOBTx,8658838,60.0
B,bNOCAx,247901274,307.0
B,bNOCRx,6412642,46.0
B,bNOFLx,4120989832,594.0
B,bNOGOx,2215304636,544.0
B,bNOHAx,4411509842,601.0
B,bNOMOx,6441815152,615.0
B,bNOPAx,299497129,327.0
B,bNOPIx,1867355599,526.0
B,bNOPOx,672759734,413.0
B,bNOWAx,108721803,225.0
B,bNRWSx,3989915579,590.0
B,bNSHOx,717849240,418.0
B,bNSHRx,2415514325,552.0
B,bNSTSx,39386849,143.0
B,bNSWOx,1498890549,511.0
B,bNUWOx,51237382,163.0
B,bOATIx,113758700,228.0
B,bOCWAx,1423852888,505.0
B,bOLSPx,19013064,96.0
B,bOLWAx,19382491,100.0
B,bORORx,2294872690,549.0
B,bOSFLx,898747121,446.0
B,bOSPRx,379525128,346.0
B,bOVENx,626212672,411.0
B,bPABUx,441501248,371.0
B,bPAGPx,1373176,26.0
B,bPAJAx,56405385,173.0
B,bPALOx,53137050,167.0
B,bPAREx,26579494,118.0
B,bPAWAx,428395843,366.0
B,bPBGRx,391313170,350.0
B,bPECOx,53971773,169.0
B,bPEFAx,2910096382,568.0
B,bPHAIx,112870055,227.0
B,bPHVIx,80780757,199.0
B,bPIGRx,1031986349,464.0
B,bPIGUx,8208743,58.0
B,bPIJAx,741467016,421.0
B,bPIPLx,42517601,148.0
B,bPISIx,4073694385,593.0
B,bPIWAx,286057428,316.0
B,bPIWOx,2219826590,545.0
B,bPLCHx,6015536,43.0
B,bPLVIx,362942657,341.0
B,bPRAWx,668914036,412.0
B,bPRFAx,3391139257,580.0
B,bPROWx,129985895,239.0
B,bPSFLx,164963034,261.0
B,bPUFIx,1435730530,507.0
B,bPUGAx,86340150,203.0
B,bPUMAx,2078611161,538.0
B,bPUSAx,52419180,165.0
B,bPYNUx,614947473,410.0
B,bPYRRx,385939713,349.0
B,bRAZOx,25282806,113.0
B,bRBGRx,787256940,429.0
B,bRBGUx,1162323925,476.0
B,bRBMEx,150055850,250.0
B,bRBNUx,1907593139,527.0
B,bRBPIx,480971,17.0
B,bRBSAx,261574492,309.0
B,bRBWOx,1480355535,510.0
B,bRCKIx,3950463379,588.0
B,bRCPAx,18318602,94.0
B,bRCSPx,491308300,381.0
B,bRCWOx,73541716,186.0
B,bRECRx,1692079596,518.0
B,bREDHx,195106464,282.0
B,bREEGx,17156825,87.0
B,bREKNx,12852563,75.0
B,bREPHx,14604248,79.0
B,bREVIx,1595189795,515.0
B,bRFWAx,39160034,140.0
B,bRHAUx,54334439,172.0
B,bRHWOx,2702089426,563.0
B,bRLHAx,3770147280,587.0
B,bRNDUx,289363784,321.0
B,bRNEPx,2082243073,541.0
B,bRNGRx,76970298,193.0
B,bRNSAx,907401865,449.0
B,bROGOx,208727907,291.0
B,bROPIx,766629375,426.0
B,bROSAx,144156,8.0
B,bROSPx,15366338,83.0
B,bROSTx,12240905,72.0
B,bROWRx,2518264332,559.0
B,bROYTx,27993131,122.0
B,bRSHAx,1200019756,478.0
B,bRTBEx,2029978,31.0
B,bRTHAx,7243395898,618.0
B,bRTHUx,1818565663,524.0
B,bRTLOx,19759325,103.0
B,bRUBLx,812656472,432.0
B,bRUDUx,167788735,264.0
B,bRUGRx,1295648171,492.0
